Feature,1019642,1019959,1019960,1019961,1019962,1019963,1019964,1019965,1019966,1019967,1019968,1019969,1019970,1019971,1019972,1019973,1019974,1019975,1019976,1019977,1019978,1019979,1019980,1019981
高度(mm),2170,2190,2590,2590,2775,2775,2170,2190,2590,2590,2775,2775,2175,2215,2645,2645,2930,2930,2170,2190,2590,2590,2775,2775
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5595,5595,5595,5595,5595,5595,5595,5595,5595,5595,5595,5595,5995,5995,5995,5995,5995,5995,5595,5595,5595,5595,5595,5595
长*宽*高(mm),5595*1880*2170,5595*1880*2190,5595*1880*2590,5595*1880*2590,5595*1945*2775,5595*1945*2775,5595*1880*2170,5595*1880*2190,5595*1880*2590,5595*1880*2590,5595*1945*2775,5595*1945*2775,5995*1880*2175,5995*1880*2215,5995*1880*2645,5995*1880*2645,5995*1945*2930,5995*1945*2930,5595*1880*2170,5595*1880*2190,5595*1880*2590,5595*1880*2590,5595*1945*2775,5595*1945*2775
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3360,3360,3360,3360,3360,3360,3100,3100,3100,3100,3100,3100
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,
