Feature,1015642,1015643,1015644,1015645,1015646,1015647,1015648
高度(mm),1995,1995,1995,1995,1995,1995,1995
驾驶辅助影像,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-
长度(mm),4495,4495,4495,4495,4495,4495,4495
长*宽*高(mm),4495*1680*1995,4495*1680*1995,4495*1680*1995,4495*1680*1995,4495*1680*1995,4495*1680*1995,4495*1680*1995
钥匙类型,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知
远光灯光源,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,
轴距(mm),2945,2945,2945,2945,2945,2945,2945
轮圈材质,,,,,,,
车门数(个),,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-
车身结构_y,客车,客车,货车,货车,货车,货车,货车
车身结构_x,客车,客车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-
车型名称,新海狮S 2023款 1.5L 财富版客车5/6/7座无空调版SWC15M,新海狮S 2023款 1.5L 财富版客车5/6/7座中央空调版SWC15M,新海狮S 2023款 1.5L 财富版厢货2/5座无空调版SWC15M,新海狮S 2023款 1.5L 财富版厢货2/5座空调版SWC15M,新海狮S 2023款 1.6L 财富版厢货2/5座无空调版SWD16M,新海狮S 2023款 1.6L 财富版厢货2/5座空调版SWD16M,新海狮S 2023款 1.6L 豪华型货运版2/5座SWD16M
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油
