Feature,61885,63126,63491,63601,63602,67665
高精地图,●,●,●,●,●,●
高度(mm),1650,1650,1650,1650,1650,1650
高压快充,支持,支持,支持,支持,支持,支持
高压平台（V）,800,800,800,800,800,800
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,双电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,
风阻系数(Cd),0.248,0.248,0.248,0.248,0.248,0.248
面部识别,●,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●
长度(mm),4753,4753,4753,4753,4753,4753
长*宽*高(mm),4753*1920*1650,4753*1920*1650,4753*1920*1650,4753*1920*1650,4753*1920*1650,4753*1920*1650
钥匙类型,,,,,,
遥控泊车,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●
远程启动功能,,,,,,
远程召唤,●,●,●,●,●,●
远光灯光源,,,,,,
近光灯光源,,,,,,
辅助驾驶芯片,,,,,,
辅助驾驶系统,,,,,,
辅助驾驶等级,,,,,,
轴距(mm),2890,2890,2890,2890,2890,2890
轮圈材质,,,,,,
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●
车载智能系统,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车机智能芯片,,,,,,
车型名称,小鹏G6 2023款 700 四驱性能 Max,小鹏G6 2023款 580 长续航 Max,小鹏G6 2023款 755 超长续航 Max,小鹏G6 2023款 755 超长续航 Pro,小鹏G6 2023款 580 长续航 Pro,小鹏G6 2024款 580 长续航 Plus
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,,,,,,
车内摄像头数量,,,,,,
车内化妆镜,,,,,,
