Feature,69418,69422,70138,70139,70375,70376,70377,70378,70379
高度(mm),1710,1710,1710,1710,1710,1710,1710,1710,1710
驾驶辅助影像,,,,,-,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●
长度(mm),4760,4760,4760,4760,4760,4760,4760,4760,4760
长*宽*高(mm),4760*1865*1710,4760*1865*1710,4760*1865*1710,4760*1865*1710,4760*1865*1710,4760*1865*1710,4760*1865*1710,4760*1865*1710,4760*1865*1710
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
透明底盘/540度影像,○,○,-,-,-,●,●,●,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,
轴距(mm),2785,2785,2785,2785,2785,2785,2785,2785,2785
轮圈材质,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,●,●
车载智能系统,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车型名称,蓝电E5 PLUS 2025款 165km 长续航版 5座,蓝电E5 PLUS 2025款 165km 长续航版 7座,蓝电E5 PLUS 2025款 120km 标准续航版 5座,蓝电E5 PLUS 2025款 120km 标准续航版 7座,蓝电E5 PLUS 2025款 100km 基础续航版 5座,蓝电E5 PLUS 2025款 165km 长续航版Pro 5座,蓝电E5 PLUS 2025款 165km 长续航版Pro 7座,蓝电E5 PLUS 2025款 165km 长续航版PLUS 5座,蓝电E5 PLUS 2025款 165km 长续航版PLUS 7座
车前雾灯,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,-,-,-,-,-,,
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,-,,,,
语音连续识别,●,●,●,●,-,●,●,●,●
语音识别控制系统,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,-,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,,,,,,,,,
空调温度控制方式,,,,,,,,,
离去角(°),24,24,24,24,25,24,24,24,24
疲劳驾驶提示,-,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,,
电池预加热,●,●,●,●,●,●,●,●,●
电池能量(kWh),25,25,18.4,18.4,17.5,25,25,25,25
电池类型,,,,,,,,,
电池慢充电量范围(%)_y,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90
电池慢充电量范围(%)_x,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90,20-90
电池慢充时间(小时)_y,4,4,3,3,3,4,4,4,4
电池慢充时间(小时)_x,4,4,3,3,3,4,4,4,4
电池快充电量范围(%)_y,30-80,30-80,-,-,-,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,-,-,-,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.9,0.9,-,-,-,0.9,0.9,0.9,0.9
电池快充时间(小时)_x,0.9,0.9,-,-,-,0.9,0.9,0.9,0.9
电池冷却方式,直冷,直冷,直冷,直冷,液冷,直冷,直冷,直冷,直冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),218,218,218,218,177,218,218,218,218
电动机总扭矩(N·m),330,330,330,330,300,330,330,330,330
电动机总功率(kW),160,160,160,160,130,160,160,160,160
电动机(Ps),218,218,218,218,177,218,218,218,218
电动座椅记忆功能,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,○,○,-,-,-,●,●,●,●
电动后备厢,○,○,-,-,-,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,
油箱容积(L),60,60,60,60,60,60,60,60,60
气缸数(个),4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L
毫米波雷达数量,-,-,-,-,-,-,-,,
每缸气门数(个),4,4,4,4,4,4,4,4,4
最高车速(km/h),180,180,180,180,165,180,180,180,180
最大马力(Ps),95,95,95,95,95,95,95,95,95
最大满载质量(kg),2450,2450,2390,2390,2305,2450,2450,2450,2450
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-
最大功率转速(rpm),-,-,-,-,-,-,-,-,-
最大功率(kW)_y,70,70,70,70,70,70,70,70,70
最大功率(kW)_x,-,-,-,-,-,-,-,-,-
最大净功率(kW),68,68,68,68,68,68,68,68,68
最低荷电状态油耗(L/100km)CLTC,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
无钥匙进入功能,,,-,-,-,-,-,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,
整车质保,,,,,,,,,
整备质量(kg),1900,1900,1840,1840,1780,1900,1900,1900,1900
摄像头数量,,,,,-,,,,
接近角(°),19,19,19,19,19,19,19,19,19
排量(mL),1499,1499,1499,1499,1499,1499,1499,1499,1499
换挡形式,,,,,,,,,
挡位个数,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
