Feature,57275,60073,60074,60075,60076,60077,61940,61941,61942,66147,66315,66322
高度(mm),1503,1450,1450,1447,1445,1445,1450,1447,1445,1503,1503,1503
驾驶辅助影像,-,,,-,,,-,,,-,,
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,
驱动电机数,-,-,-,单电机,单电机,单电机,-,单电机,单电机,-,-,-
驱动方式,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4631,4652,4652,4652,4652,4652,4652,4652,4652,4631,4631,4631
长*宽*高(mm),4631*1760*1503,4652*1815*1450,4652*1815*1450,4652*1815*1447,4652*1815*1445,4652*1815*1445,4652*1815*1450,4652*1815*1447,4652*1815*1445,4631*1760*1503,4631*1760*1503,4631*1760*1503
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远程启动功能,-,,,-,,,-,,,-,-,-
远光灯光源,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,
辅助驾驶系统,-,-,,-,,,-,-,-,-,-,-
辅助驾驶等级,-,-,,-,,,-,-,-,-,-,-
轴距(mm),2700,2712,2712,2712,2712,2712,2712,2712,2712,2700,2700,2700
轮圈材质,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,●,-,●,●,-,-,-,-,-,-
车道偏离预警系统,-,-,●,-,●,●,-,-,-,-,-,-
车道保持辅助系统,-,-,●,-,●,●,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,-,,,-,,,-,,,-,,
车载KTV,-,●,●,-,●,●,-,●,●,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,●,●,-,●,●,-,●,●,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,
车型名称,轩逸 2021款 经典 1.6XE CVT专享版,轩逸 2023款 1.6L CVT悦享版,轩逸 2023款 1.6L CVT智驾版,轩逸 2023款 超混电驱 全电驱Pro,轩逸 2023款 超混电驱 超智驾Max,轩逸 2023款 超混电驱 超豪华Ultra,轩逸 2023款 1.6L CVT舒享版,轩逸 2023款 超混电驱 全电驱大屏版,轩逸 2023款 超混电驱 超智联Plus,轩逸 2024款 经典 1.6XE CVT舒适版,轩逸 2024款 经典 1.6XV CVT尊享版,轩逸 2024款 经典 1.6XL CVT豪华版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,,,-,-,,-,-,-
车内化妆镜,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,,,-,,,-,,,-,,
语音免唤醒词,-,-,-,-,●,●,-,●,●,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,
蓝牙/车载电话,-,●,●,●,●,●,●,●,●,-,●,●
自适应远近光,-,-,●,-,●,●,-,-,-,-,-,-
自动驻车,-,●,●,●,●,●,-,●,●,-,-,-
自动头灯,-,●,●,-,●,●,-,-,●,-,●,-
能量回收系统,-,-,-,●,●,●,-,●,●,-,-,-
能源类型_y,汽油,汽油,汽油,汽油电驱,汽油电驱,汽油电驱,汽油,汽油电驱,汽油电驱,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油电驱,汽油电驱,汽油电驱,汽油,汽油电驱,汽油电驱,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
