Feature,32480,32481,32482,32483,32484,32485,32486,33418,33419,43164,43165,43166
高度(mm),1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559
长*宽*高(mm),4559*1793*1487,4559*1793*1487,4559*1793*1487,4559*1793*1487,4559*1793*1487,4559*1793*1487,4559*1793*1487,4559*1793*1487,4559*1793*1487,4559*1793*1487,4559*1793*1487,4559*1793*1487
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614,2614
转向辅助灯,●,●,●,●,●,●,●,-,-,-,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,旅行车,旅行车,旅行车,旅行车,旅行车,旅行车,旅行车,旅行车,旅行车,旅行车,旅行车,旅行车
车身结构_x,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座旅行车,5门5座旅行车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
车型名称,C-TREK蔚领 2018款 1.5L 手动舒适型,C-TREK蔚领 2018款 1.5L 自动舒适型,C-TREK蔚领 2018款 1.5L 手动豪华型,C-TREK蔚领 2018款 1.5L 自动豪华型,C-TREK蔚领 2018款 230TSI 手动舒适型,C-TREK蔚领 2018款 230TSI DSG舒适型,C-TREK蔚领 2018款 230TSI DSG豪华型,C-TREK蔚领 2018款 1.5L 手动时尚型,C-TREK蔚领 2018款 1.5L 自动时尚型,C-TREK蔚领 2020款 1.5L 自动时尚型,C-TREK蔚领 2020款 1.5L 自动舒适型,C-TREK蔚领 2020款 1.5L 自动豪华型
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),589-1507,589-1507,589-1507,589-1507,589-1507,589-1507,589-1507,589-1507,589-1507,499,499,499
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,-,-,-,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,○,○,-,-,○,-,-,-,-,○
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,5挡手动,6挡手自一体,5挡手动,6挡手自一体,5挡手动,7挡双离合,7挡双离合,5挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-
