Feature,35396,35397,43279,43280
高度(mm),1485,1485,1485,1485
驻车制动类型,手刹,手刹,手刹,手刹
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-
陡坡缓降,-,-,-,-
长度(mm),3580,3580,3580,3580
长*宽*高(mm),3580*1570*1485,3580*1570*1485,3580*1570*1485,3580*1570*1485
道路救援呼叫,-,-,-,-
道路交通标识识别,-,-,-,-
运动风格座椅,-,-,-,-
运动外观套件,-,-,-,-
轴距(mm),2345,2345,2345,2345
转向辅助灯,-,-,-,-
转向头灯,-,-,-,-
车顶行李架,-,-,-,-
车门数(个),5,5,5,5
车道偏离预警系统,-,-,-,-
车道保持辅助系统,-,-,-,-
车载空气净化器,-,-,-,-
车载电视,-,-,-,-
车载冰箱,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-
车联网,-,-,-,-
车窗防夹手功能,-,-,-,-
车型名称,江铃E200L 2018款 E200L 标准型（250KM）,江铃E200L 2018款 E200L 舒适型（250KM）,江铃E200L 2020款 E200L 标准型（302KM）,江铃E200L 2020款 E200L 舒适型（302KM）
车内香氛装置,-,-,-,-
车内中控锁,●,●,●,●
车内PM2.5过滤装置,-,-,-,-
车体结构,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-
触摸式阅读灯,-,-,-,-
被动行人保护,-,-,-,-
行李厢容积(L),-,-,-,-
行李厢12V电源接口,-,-,-,-
蓝牙/车载电话,●,●,●,●
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动泊车入位,-,-,-,-
自动头灯,-,-,-,-
膝部气囊,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动
缺气保用轮胎,-,-,-,-
级别,微型车,微型车,微型车,微型车
系统综合扭矩(N·m),-,-,-,-
系统综合功率(kW),-,-,-,-
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-,-
空气悬架,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-
疲劳驾驶提示,-,-,-,-
电磁感应悬架,-,-,-,-
电池预加热,○,○,○,○
电池能量(kWh),29.2,29.2,-,-
电池组质保,八年或12万公里,八年或12万公里,八年或12万公里,八年或12万公里
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电机布局,前置,前置,前置,前置
