Feature,1017158,1017159,1017160,1017161,1017565,1017566,1017567,1017954,1017955,1017956,1019381,1019382,1019488
高度(mm),1885,1875,1885,1885,1875,1885,1875,1885,1885,-,1885,1885,1885
驾驶辅助影像,,,,,,,,-,-,-,,,
驾驶模式切换,,,,,,,,-,-,-,,,
驻车制动类型,,,,,,,,,,-,,,
驱动电机数,单电机,双电机,单电机,双电机,双电机,单电机,双电机,单电机,双电机,-,单电机,双电机,双电机
驱动方式,,,,,,,,,,-,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,-,-,-,●,●,●
限滑差速器/差速锁,-,,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5380,5380,5630,5630,5380,5380,5380,5630,5630,-,5380,5380,5630
长*宽*高(mm),5380*1930*1885,5380*1980*1875,5630*1930*1885,5630 *1930*1885,5380*1930*1875,5380*1980*1885,5380*1980*1875,5630*1930*1885,5630*1930*1885,-,5380*1930*1885,5380*1930*1885,5630*1930*1885
钥匙类型,,,,,,,,-,-,-,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,DOHC,DOHC,DOHC
道路救援呼叫,-,●,-,-,-,●,●,-,-,-,-,-,-
透明底盘/540度影像,-,●,-,-,-,●,●,-,-,-,-,-,-
远程启动功能,-,,-,-,-,,,-,-,-,-,-,-
远光灯光源,,,,,,,,-,-,-,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,-,-,-,,,
轴距(mm),3180,3180,3430,3430,3180,3180,3180,3430,3430,-,3180,3180,3430
轮圈材质,,,,,,,,-,-,-,,,
转向辅助灯,-,●,-,-,-,●,●,-,-,-,-,-,-
车顶行李架,-,●,-,-,-,●,●,-,-,-,-,-,-
车门数(个),,,,,,,,,,-,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,-,平开门,平开门,平开门
车道偏离预警系统,-,●,-,-,-,●,●,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,●,-,-,-,●,●,-,-,-,-,-,-
车载KTV,-,●,-,-,-,●,●,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,-,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,-,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,-,-,-,●,●,●
车联网,-,●,-,-,-,●,●,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,-,-,-,●,●,●
车窗一键升降功能,,,,,,,,-,-,-,,,
车型名称,2024款 勇士版  豪华型 单电机标箱,2024款 骑士版  旗舰型 双电机四驱标箱,2024款 勇士版 豪华型 单电机超长箱,2024款 勇士版  豪华型 双电机四驱超长箱,长安猎手 2024款 勇士版  豪华型 双电机四驱标箱,长安猎手 2024款 骑士版  领航型 单电机标箱,长安猎手 2024款 骑士版  领航型 双电机四驱标箱,长安猎手 2024款 铠甲版  全能型 单电机标箱,长安猎手 2024款 铠甲版  全能型 双电机四驱标箱,长安猎手 2024款 铠甲版  全域型 双电机四驱标箱,长安猎手 2024款 精英版 豪华型 单电机标箱,长安猎手 2024款 精英版 豪华型 双电机四驱标箱,长安猎手 2024款 精英版 豪华型 双电机四驱超长箱
车前雾灯,-,,-,-,-,,,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,,-,-,-,,,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,-,-,-,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,-,-,-,●,●,-
车侧脚踏板,-,-,-,-,-,-,-,-,-,-,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,-,非承载式,非承载式,非承载式
货箱尺寸(mm),1600x1595x500,1600x1595x520,1850x1595x500,1850x1595x500,1600x1595x500,1600x1595x520,1600x1595x520,1600x1595x520,1600x1595x520,-,1600x1595x500,1600x1595x500,1850x1600x500
语音识别控制系统,-,,-,-,-,,,-,-,-,-,-,-
语音分区域唤醒识别,-,,-,-,-,,,-,-,-,-,-,-
