Feature,1005820,1005821,1005822,1005823,1005825,1007073,1010942,1010943,1010944,1010945,1010946,1010947,1010948,1010949,1010950,1010951,1010952,1010953,1010954,1010955,1010956,1010957,1010958,1010959,1010960,1010961,1010962,1010963,1010964,1010965
高度(mm),1825,1825,1825,1825,1825,1848,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825
驾驶辅助影像,,,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5660,5660,5660,5660,5660,5660,5350,5660,5350,5660,5350,5660,5350,5660,5350,5660,5350,5660,5350,5660,5350,5660,5350,5660,5350,5660,5350,5660,5350,5660
长*宽*高(mm),5660×1885×1825,5660×1885×1825,5660×1885×1825,5660×1885×1825,5660×1885×1825,5660×1885×1848,5350×1885×1825,5660×1885×1825,5350×1885×1825,5660×1885×1825,5350×1885×1825,5660×1885×1825,5350×1885×1825,5660×1885×1825,5350×1885×1825,5660×1885×1825,5350×1885×1825,5660×1885×1825,5350×1885×1825,5660×1885×1825,5350×1885×1825,5660×1885×1825,5350×1885×1825,5660×1885×1825,5350×1885×1825,5660×1885×1825,5350×1885×1825,5660×1885×1825,5350×1885×1825,5660×1885×1825
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3406,3406,3406,3406,3406,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
