Feature,63811,63812,65008,65009,66706
高度(mm),1780,1780,1780,1780,1780
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,
风阻系数(Cd),0.35,0.35,0.35,0.35,0.35
面部识别,-,-,-,-,●
隐藏电动门把手,●,-,●,-,●
陡坡缓降,●,●,●,●,●
长度(mm),5015,5110,5015,5110,5015
长*宽*高(mm),5015*1950*1780,5110*1976*1780,5015*1950*1780,5110*1976*1780,5015*1950*1780
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●
道路交通标识识别,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,
辅助驾驶系统,,,,,
辅助驾驶等级,,,,,
轴距(mm),2920,2920,2920,2920,2920
轮圈材质,,,,,
车顶行李架,●,●,●,●,●
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,●,●,●,●,●
车载智能系统,,,,,
车载KTV,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门6座SUV,5门7座SUV,5门6座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车机系统存储(GB),,,,,
车机系统内存(GB),,,,,
车机智能芯片,,,,,
车型名称,传祺ES9 2024款 PHEV 143km Max,传祺ES9 2024款 PHEV 143km 旅行者 Max,传祺ES9 2024款 PHEV 143km Pro,传祺ES9 2024款 PHEV 143km 旅行者 Pro,传祺ES9 2024款 PHEV 143km 贺岁版
车前雾灯,-,,-,,
车内生物监测系统,-,-,-,-,●
车内环境氛围灯,,,,,
车内摄像头数量,-,-,-,-,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
负离子发生器,●,●,●,●,●
语音连续识别,●,●,●,●,●
语音识别控制系统,,,,,
语音助手唤醒词,,,,,
语音分区域唤醒识别,,,,,
语音免唤醒词,●,●,●,●,●
被动行人保护,●,●,●,●,●
行车电脑显示屏幕,,,,,
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,●,●,●,●
自动驻车,●,●,●,●,●
自动头灯,●,●,●,●,●
膝部气囊,-,-,-,-,●
能量回收系统,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
系统综合扭矩(N·m),630,630,630,630,630
系统综合功率(kW),274,274,274,274,274
系统综合功率(Ps),373,373,373,373,373
简称,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT
第二排独立座椅,-,●,-,●,-
第二排座椅调节,,,,,
第二排座椅功能,,,-,,
第三排座椅调节,,,,,
第三排座椅电动调节,●,●,-,●,●
空载最小离地间隙(mm),171,171,171,171,171
空调温度控制方式,,,,,
空气质量监测,●,●,●,●,●
离去角(°),23,21,23,21,23
百公里耗电量(kWh/100km),22,22,22,22,22
疲劳驾驶提示,-,-,-,-,●
电芯品牌,,,,,
电池预加热,●,●,●,●,●
电池能量(kWh),25.57,25.57,25.57,25.57,25.57
电池类型,,,,,
电池特有技术,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池
电池慢充时间(小时)_y,3.5,3.5,3.5,3.5,3.5
