Feature,68269,68295,68296,68297
高度(mm),1608,1608,1608,1608
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,,,,
风阻系数(Cd),0.259,0.259,0.259,0.259
陡坡缓降,●,●,●,●
长度(mm),4541,4541,4590,4590
长*宽*高(mm),4541*1880*1608,4541*1880*1608,4590*1880*1608,4590*1880*1608
钥匙类型,,,,
配气机构,-,-,DOHC,DOHC
遥控泊车,●,●,●,●
道路交通标识识别,●,●,●,●
透明底盘/540度影像,●,●,●,●
远程启动功能,,,,
远光灯光源,,,,
进气形式,-,-,自然吸气,自然吸气
近光灯光源,,,,
辅助驾驶系统,,,,
辅助驾驶等级,,,,
轴距(mm),2750,2750,2750,2750
轮圈材质,,,,
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●
车道偏离预警系统,●,●,●,●
车道保持辅助系统,●,●,●,●
车载空气净化器,-,-,-,-
车载智能系统,,,,
车身结构_y,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车型名称,宝骏云海 2024款 600km 纯电版,宝骏云海 2024款 500km 纯电版,宝骏云海 2024款 60km 插混版,宝骏云海 2024款 140km 插混版
车前雾灯,-,-,-,-
车内环境氛围灯,-,-,-,-
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,,,,
语音连续识别,●,●,●,●
语音识别控制系统,,,,
语音助手唤醒词,,,,
语音分区域唤醒识别,,,,
语音免唤醒词,●,●,●,●
记忆泊车,●,●,●,●
行车电脑显示屏幕,,,,
蓝牙/车载电话,●,●,●,●
自适应远近光,-,-,-,-
自动驾驶辅助路段,,,,
自动驻车,●,●,●,●
自动泊车入位,●,●,●,●
自动头灯,●,●,●,●
自动变道辅助,●,●,●,●
能量回收系统,●,●,●,●
能源类型_y,纯电动,纯电动,插电式混合动力,插电式混合动力
能源类型_x,纯电动,纯电动,插电式混合动力,插电式混合动力
胎压监测功能,,,,
缸盖材料,-,-,铝合金,铝合金
缸体材料,-,-,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
