Feature,56066,59379,62354,62355,62356,62357,66456,67129,67130,67131,67132,67133,67134
高度(mm),1765,1785,1785,1785,1785,1785,1785,1765,1785,1785,1785,1785,1785
驾驶辅助影像,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,双电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,●,-,-,-,-,-,●,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175,5175
长*宽*高(mm),5175*1995*1765,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1765,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1785,5175*1995*1785
钥匙类型,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,
辅助驾驶系统,,,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,,,
轴距(mm),3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060
轮圈材质,,,,,,,,,,,,,
车顶行李架,-,●,●,●,●,●,●,-,●,●,●,●,●
车门数(个),,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,●,●,-,-,-,-,-,●,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,●,●,●,●,●,-,-,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,
车机系统存储(GB),-,-,-,-,-,-,,-,-,,,,
车机系统内存(GB),-,-,-,-,-,-,,-,-,,,,
车机智能芯片,-,-,-,-,-,-,,-,-,,,,
