Feature,61128,63373,63725,63726,66360,68701
高度(mm),1624,1624,1624,1624,1624,1624
驾驶辅助影像,,,-,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,
风阻系数(Cd),0.279,0.279,0.288,0.279,0.279,0.279
陡坡缓降,-,-,-,-,-,-
长度(mm),4607,4607,4607,4607,4607,4607
长*宽*高(mm),4607*1917*1624,4607*1917*1624,4607*1917*1624,4607*1917*1624,4607*1917*1624,4607*1917*1624
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,●,-,-
道路救援呼叫,●,●,-,●,●,●
透明底盘/540度影像,●,●,-,●,●,●
远程启动功能,,,-,,,
远光灯光源,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,
运动风格座椅,●,●,●,●,●,●
辅助驾驶系统,-,-,-,,-,-
辅助驾驶等级,-,-,-,,-,-
轴距(mm),2700,2700,2700,2700,2700,2700
轮圈材质,,,,,,
车顶行李架,-,-,-,●,-,-
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,●,-,-
车道偏离预警系统,-,-,-,●,-,-
车道保持辅助系统,-,-,-,●,-,-
车载空气净化器,-,-,-,-,-,-
车载智能系统,,,-,,,
车载KTV,●,●,-,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,-,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车机系统存储(GB),,,,,,
车机系统内存(GB),,,,,,
车型名称,启辰大V DD-i超混动 2023款 110km iE版,启辰大V DD-i超混动 2023款 60km iD版,启辰大V DD-i超混动 2023款 60km iC版,启辰大V DD-i超混动 2023款 110km iT版,启辰大V DD-i超混动 2023款 60km iD悦行版,启辰大V DD-i超混动 2024款 110km Pro版
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,-,-,-,,-,-
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,,-,-
语音连续识别,●,●,-,●,●,●
语音识别控制系统,,,-,,,
语音助手唤醒词,,,-,,,
语音分区域唤醒识别,,,-,,,
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●
自动泊车入位,-,-,-,●,-,-
自动头灯,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,-,-,-,-,-,-
空载最小离地间隙(mm),181,181,181,181,181,181
空调温度控制方式,,,,,,
移动物体预警系统,●,●,-,●,●,●
离去角(°),21,21,21,21,21,21
百公里耗电量(kWh/100km),13.5,12.2,12.2,13.5,12.2,13.5
疲劳驾驶提示,●,●,-,●,●,●
电芯品牌,,,,,,
电池预加热,●,●,●,●,●,●
