Feature,60330,60357,60358,60520,60521,60522,60523,60524,60525,60526,60527,60528,60529,60530,60531,60532,60533,60534,60725,60726,60727,60728,60729,60730,60731,60732,60822,60823,61669,62145,62146,62147,62148,62149,62150,62151,62152,62153,62824,62825,63271,63272,63273,63885,64363,64364,64365,64755,64757,64758,65114,66529,66598,66599,66600,66601
高度(mm),1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
驾驶辅助影像,,,,,,-,,,,,,-,-,-,-,,,,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,,,,,,,,,,-,-,,-,-,,-,,-,,,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5240,5240,5240,4880,4880,4880,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,4880,4880,5240,5240,5240,5240,5240,5240,5240,5240,4880,4880,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,5240,4880,5240,5240,5240
长*宽*高(mm),5240*1870*1950,5240*1870*1950,5240*1870*1950,4880*1870*1950,4880*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,4880*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,4880*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950,4880*1870*1950,5240*1870*1950,5240*1870*1950,5240*1870*1950
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3200,3200,3200,2880,2880,2880,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2880,2880,3200,3200,3200,3200,3200,3200,3200,3200,2880,2880,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,2880,3200,3200,3200
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,-,●,-,●,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,●,-,-,-,-
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
