Feature,58575,58576,58577
高度(mm),1695,1695,1695
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱
风阻系数(Cd),0.305,0.305,0.305
陡坡缓降,●,●,●
长度(mm),4826,4826,4826
长*宽*高(mm),4826*1909*1695,4826*1909*1695,4826*1909*1695
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
道路救援呼叫,○,●,●
道路交通标识识别,-,-,●
透明底盘/540度影像,-,●,●
远程启动功能,,,
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,
辅助驾驶等级,-,-,
轴距(mm),2805,2805,2805
轮圈材质,,,
车顶行李架,●,●,●
车门数(个),5,5,5
车门开启方式,平开门,平开门,平开门
车道居中保持,-,-,●
车道偏离预警系统,-,-,●
车道保持辅助系统,-,-,●
车载空气净化器,-,-,●
车载智能系统,,,
车身结构_y,MPV,MPV,MPV
车身结构_x,5门6座MPV,5门6座MPV,5门6座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,嘉际 2023款 嘉际L 1.5TD  DCT舒适型,嘉际 2023款 嘉际L 1.5TD DCT豪华型,嘉际 2023款 嘉际L 1.5TD DCT尊贵型
车前雾灯,-,-,-
车内环境氛围灯,-,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
负离子发生器,-,-,●
语音识别控制系统,,,
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,-,-,●
自动驻车,●,●,●
自动头灯,●,●,●
能源类型,汽油,汽油,汽油
胎压监测功能,,,
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金
级别,紧凑型MPV,紧凑型MPV,紧凑型MPV
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排独立座椅,●,●,●
第二排座椅调节,,,
第二排座椅功能,-,-,
空调温度控制方式,,,
离去角(°),23,23,23
疲劳驾驶提示,-,-,-
电动座椅记忆功能,-,-,
电动后备厢位置记忆,-,-,●
电动后备厢,-,-,●
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,92号,92号,92号
燃料形式,汽油,汽油,汽油
满载最小离地间隙(mm),165,165,165
温度分区控制,●,●,●
