Feature,61259,63242,64818,64819,64820,64821,64822,64823,64824,64825,64826,67521,67522,69830,69831,70551,70552
高度(mm),1494,1494,1474,1474,1474,1474,1474,1474,1474,1474,1474,1494,1494,1470,1470,1470,1470
驾驶辅助影像,,-,,,-,,,,,,,-,,-,,-,
驾驶模式切换,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4561,4561,4678,4678,4678,4678,4678,4678,4678,4678,4678,4561,4561,4561,4561,4561,4561
长*宽*高(mm),4561*1740*1494,4561*1740*1494,4678*1806*1474,4678*1806*1474,4678*1806*1474,4678*1806*1474,4678*1806*1474,4678*1806*1474,4678*1806*1474,4678*1806*1474,4678*1806*1474,4561*1740*1494,4561*1740*1494,4561*1740*1470,4561*1740*1470,4561*1740*1470,4561*1740*1470
钥匙类型,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,
辅助驾驶系统,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-
辅助驾驶等级,-,-,,,-,,,,,,,-,-,-,-,-,-
轴距(mm),2651,2651,2688,2688,2688,2688,2688,2688,2688,2688,2688,2651,2651,2651,2651,2651,2651
轮圈材质,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,●,●,-,●,●,●,●,●,●,-,-,-,-,-,-
车门数(个),,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,-,●,●,-,●,●,●,●,●,●,-,●,-,-,-,-
车道保持辅助系统,●,-,●,●,-,●,●,●,●,●,●,-,●,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,○,○,●,●,●,●,●,●,●,●,●,○,○,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,
车型名称,朗逸 2023款 新锐 1.5L 自动新愿版,朗逸 2023款 新锐 1.5L 自动新逸版,朗逸 2024款 1.5L 自动五百万版,朗逸 2024款 1.5L 自动星空五百万版,朗逸 2024款 1.5L 自动得逸版,朗逸 2024款 1.5L 自动满逸版,朗逸 2024款 300TSI DSG满逸版,朗逸 2024款 300TSI DSG永逸版,朗逸 2024款 300TSI DSG星空满逸版,朗逸 2024款 300TSI DSG星空领先版,朗逸 2024款 300TSI DSG星空永逸版,朗逸 2023款 新锐 1.5L 自动出众新逸版,朗逸 2023款 新锐 1.5L 自动出众新愿版,朗逸 2025款 新锐 1.5L 出众新逸版,朗逸 2025款 新锐 1.5L 出众新愿版,朗逸 2025款 新锐 1.5L 新逸版,朗逸 2025款 新锐 1.5L 新愿版
车前雾灯,,-,-,-,-,-,-,-,-,-,-,-,,-,,-,
车内环境氛围灯,-,-,,,-,,,,,,,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,,,,
语音识别控制系统,-,-,,,-,-,-,,-,,,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能量回收系统,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,
离去角(°),17,17,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,95号,95号,95号,95号,95号,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,●,-,●,●,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,,,
油箱容积(L),42.5,42.5,51,51,51,51,51,51,51,51,51,42.5,42.5,42.5,42.5,42.5,42.5
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
毫米波雷达数量,,,,,,,,,,,,,,,,,
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),185,185,188,188,188,188,200,200,200,200,200,185,185,185,185,185,185
最大马力(Ps),110,110,110,110,110,110,160,160,160,160,160,110,110,110,110,110,110
最大满载质量(kg),1710,1710,1755,1755,1755,1755,1805,1805,1805,1805,1805,1710,1710,1710,1710,1710,1710
最大扭矩转速(rpm),4100,4100,4100,4100,4100,4100,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,4100,4100,4100,4100,4100,4100
最大扭矩(N·m)_y,141,141,141,141,141,141,250,250,250,250,250,141,141,141,141,141,141
最大扭矩(N·m)_x,141,141,141,141,141,141,250,250,250,250,250,141,141,141,141,141,141
最大功率转速(rpm),6200,6200,6200,6200,6200,6200,5500,5500,5500,5500,5500,6200,6200,6200,6200,6200,6200
最大功率(kW)_y,81,81,81,81,81,81,118,118,118,118,118,81,81,81,81,81,81
最大功率(kW)_x,81,81,81,81,81,81,118,118,118,118,118,81,81,81,81,81,81
最大净功率(kW),81,81,81,81,81,81,118,118,118,118,118,81,81,81,81,81,81
最低燃油标号,-,-,-,-,-,-,92号,92号,92号,92号,92号,-,-,-,-,-,-
无钥匙进入功能,,-,,,-,,,,,,,-,,-,,-,
无钥匙启动系统,●,-,●,●,-,●,●,●,●,●,●,-,●,-,●,-,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
