Feature,63892,63893,63894,63895
高度(mm),1932,1932,1932,1932
驾驶辅助影像,,,,
驾驶模式切换,-,-,-,-
驻车制动类型,,,,
驱动方式,,,,
风阻系数(Cd),-,-,-,-
陡坡缓降,●,●,●,●
限滑差速器/差速锁,,,,
长度(mm),5239,5239,5239,5239
长*宽*高(mm),5239*2026*1932,5239*2026*1932,5239*2026*1932,5239*2026*1932
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,
轴距(mm),2950,2950,2950,2950
轮圈材质,,,,
车顶行李架,○,○,●,●
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-
车道保持辅助系统,-,-,-,-
车载空气净化器,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV
车身结构_x,5门2/5座SUV,5门5座SUV,5门7座SUV,5门5/7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,-,-,-,-
车窗防夹手功能,●,●,●,●
车窗一键升降功能,-,-,-,-
车型名称,恒天L4600 2023款 4.6L V8 多功能车,恒天L4600 2023款 4.6L V8 卓越版,恒天L4600 2023款 4.6L V8 领航版,恒天L4600 2023款 4.6L V8 定制版
车前雾灯,,,,
车内环境氛围灯,-,-,-,-
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车侧脚踏板,-,,,
车体结构,非承载式,非承载式,非承载式,非承载式
超声波雷达数量,,,,
语音识别控制系统,-,-,-,-
行车电脑显示屏幕,-,-,-,-
蓝牙/车载电话,●,●,●,●
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动头灯,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油
胎压监测功能,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体
第二排座椅调节,,,,
第二排座椅功能,,,,
空调温度控制方式,,,,
离去角(°),23,23,23,23
疲劳驾驶提示,-,-,-,-
电动座椅记忆功能,-,-,-,-
电动后备厢,-,-,-,-
环保标准_y,国IV,国IV,国IV,国IV
环保标准_x,国IV,国IV,国IV,国IV
牵引力控制(ASR/TCS/TRC等),●,●,●,●
满载最小离地间隙(mm),220,220,220,220
温度分区控制,●,●,●,●
液晶仪表尺寸,-,-,-,-
油箱容积(L),92,92,92,92
气缸数(个),8,8,8,8
气缸排列形式,V,V,V,V
每缸气门数(个),4,4,4,4
最高车速(km/h),196,196,196,196
最大马力(Ps),288,288,288,288
最大满载质量(kg),3510,3510,3510,3510
最大扭矩转速(rpm),4100,4100,4100,4100
