Feature,37141
高度(mm),1756
驻车制动类型,电子驻车
驱动电机数,单电机
驱动方式,前置四驱
面部识别,-
陡坡缓降,●
长度(mm),5080
长*宽*高(mm),5080*2022*1756
配气机构,DOHC
道路救援呼叫,●
道路交通标识识别,●
进气形式,双涡轮增压
运动风格座椅,-
运动外观套件,-
轴距(mm),3025
转向辅助灯,-
转向头灯,-
车顶行李架,●
车门数(个),5
车道偏离预警系统,●
车道保持辅助系统,●
车载空气净化器,●
车载电视,-
车载冰箱,-
车身结构_y,SUV
车身结构_x,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●
车联网,●
车窗防夹手功能,●
车型名称,飞行家新能源 2020款 3.0T V6全驱高性能插电式混动版
车内香氛装置,-
车内中控锁,●
车内PM2.5过滤装置,●
车体结构,承载式
负离子发生器,-
触摸式阅读灯,-
被动行人保护,-
行程(mm),-
行李厢容积(L),302-2044
行李厢12V电源接口,●
蓝牙/车载电话,●
自适应远近光,●
自动驻车,●
自动泊车入位,●
自动头灯,●
膝部气囊,●
能源类型,插电式混合动力
缺气保用轮胎,-
缸盖材料,铝合金
缸径(mm),-
缸体材料,铝合金
级别,中大型SUV
系统综合扭矩(N·m),813
系统综合功率(kW),329
简称,10挡手自一体
第二排独立座椅,-
空气悬架,●
百公里耗电量(kWh/100km),-
疲劳驾驶提示,●
电磁感应悬架,-
电池预加热,-
电池能量(kWh),13.5
电池组质保,八年或16万公里
电池类型,锂离子电池
电机类型,-
电机布局,前置
电动机总扭矩(N·m),300
电动机总功率(kW),85
电动机(Ps),116
电动后备厢位置记忆,●
电动后备厢,●
电动可调踏板,-
环保标准_y,国VI
环保标准_x,国VI
牵引力控制(ASR/TCS/TRC等),●
燃油标号,92号
燃料形式,插电式混合动力
温度分区控制,●
涉水感应系统,-
油箱容积(L),68.1
气缸数(个),6
气缸排列形式,V
每缸气门数(个),4
最高车速(km/h),230
最小离地间隙(mm),166
最大马力(Ps),355
最大扭矩转速(rpm),3500
最大扭矩(N·m)_y,553
最大扭矩(N·m)_x,813
最大功率转速(rpm),5500
最大功率(kW)_y,261
最大功率(kW)_x,329
无钥匙启动系统,●
方向盘记忆,●
方向盘换挡,●
方向盘加热,●
整车质保,三年或10万公里
整备质量(kg),2617
整体主动转向系统,-
排量(mL),2956
挡位个数,10
手势控制,-
慢充时间(小时)_y,-
慢充时间(小时)_x,-
感应后备厢,●
快充电量百分比,-
快充电量(%),-
快充时间(小时)_y,-
快充时间(小时)_x,-
座位数(个),7
并线辅助,●
工信部综合油耗(L/100km),2.8
工信部纯电续航里程(km)_y,50
工信部纯电续航里程(km)_x,50
尾门玻璃独立开启,-
导航路况信息显示,●
宽度(mm),2022
实测续航里程(km),-
实测油耗(L/100km),-
实测慢充时间(小时),-
实测快充时间(小时),-
实测100-0km/h制动(m),39.34
实测0-100km/h加速(s),5.7
官方0-100km/h加速(s),-
大灯高度可调,●
大灯清洗装置,-
大灯延时关闭,●
夜视系统,-
多功能方向盘,●
备胎规格,非全尺寸
四驱形式,适时四驱
后风挡遮阳帘,-
后雨刷,●
后轮距(mm),-
后轮胎规格,255/55 R20
后电动机最大扭矩(N·m),-
后电动机最大功率(kW),-
后排独立空调,●
后排杯架,●
后排控制多媒体,●
后排座椅电动调节,-
后排座椅电动放倒,●
后排小桌板,-
后排安全带式气囊,-
后排侧隐私玻璃,●
后排中央安全气囊,-
后悬架类型,多连杆式独立悬架
后座出风口,●
后制动器类型,通风盘式
可变转向比,-
可加热喷水嘴,●
变速箱类型,手自一体变速箱(AT)
变速箱,10挡手自一体
发动机电子防盗,●
发动机特有技术,-
发动机型号,-
发动机启停技术,●
发动机,3.0T 355马力 V6
压缩比,-
厂商指导价(元),81.88万
厂商,林肯(进口)
助力类型,电动助力
副驾驶位后排可调节按钮,-
前轮距(mm),-
前轮胎规格,255/55 R20
前电动机最大扭矩(N·m),300
前电动机最大功率(kW),85
前悬架类型,双叉臂式独立悬架
前大灯雨雾模式,-
前制动器类型,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后●
前/后中央扶手,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●
制动力分配(EBD/CBC等),●
内置行车记录仪,-
全液晶仪表盘,●
倒车车侧预警系统,●
供油方式,直喷
主动降噪,●
主动闭合式进气格栅,●
主动刹车/主动安全系统,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●
中控液晶屏分屏显示,-
中央差速器锁止功能,-
中央差速器结构,多片离合器
上市时间,2019.11
上坡辅助,●
OTA升级,-
LED日间行车灯,●
ISOFIX儿童座椅接口,●
HUD抬头数字显示,●
GPS导航系统,●
ABS防抱死,●
220V/230V电源,●
