Feature,1013827,1013828,1013829,1013830,1013831,1013832,1013843,1013844,1013845,1013846,1013847,1013848,1013849,1013850,1013851
高度(mm),1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835
驾驶辅助影像,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,,,-,,,,,,-,-,,,-,-
长度(mm),5305,5305,5305,5305,5305,5305,5305,5305,5305,5305,5305,5305,5305,5305,5305
长*宽*高(mm),5305×1905×1835,5305×1905×1835,5305×1905×1835,5305×1905×1835,5305×1905×1835,5305×1905×1835,5305×1905×1835,5305×1905×1835,5305×1905×1835,5305×1905×1835,5305×1905×1835,5305×1905×1835,5305×1905×1835,5305×1905×1835,5305×1905×1835
钥匙类型,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,
轴距(mm),3085,3085,3085,3085,3085,3085,3085,3085,3085,3085,3085,3085,3085,3085,3085
轮圈材质,,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,域虎9 2022款 2.0T自动柴油四驱至尊型,域虎9 2022款 2.0T自动柴油四驱尊享型,域虎9 2022款 2.0T自动柴油四驱舒享型,域虎9 2022款 2.0T自动柴油两驱尊享型,域虎9 2022款 2.0T手动柴油四驱尊享型,域虎9 2022款 2.0T手动柴油四驱舒享型,域虎9 2022款 2.0T自动汽油四驱至尊型,域虎9 2022款 2.0T自动汽油四驱尊享型,域虎9 2022款 2.0T自动汽油四驱舒享型,域虎9 2022款 2.0T自动汽油两驱尊享型,域虎9 2022款 2.0T自动汽油两驱舒享型,域虎9 2022款 2.0T手动汽油四驱尊享型,域虎9 2022款 2.0T手动汽油四驱舒享型,域虎9 2022款 2.0T手动汽油两驱尊享型,域虎9 2022款 2.0T手动汽油两驱舒享型
车前雾灯,,,,,,,,,,,,,,,
车内环境氛围灯,,,-,,-,-,,,-,,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,-,-,-,-,●,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,
缸盖材料,未知,未知,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
