Feature,1010839,1010840,1010841,1010842,1010843,1010844,1010845,1010846,1010847,1010848,1010849,1010850,1010851,1010852,1010853,1010854,1010855,1010856,1010857,1010858,1010859,1010860,1010861,1010862
高度(mm),1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830
驾驶辅助影像,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5382,5692,5382,5692,5382,5692,5382,5692,5382,5692,5382,5692,5382,5692,5382,5692,5382,5692,5382,5692,5382,5692,5382,5692
长*宽*高(mm),5382×1877×1830,5692×1877×1830,5382×1877×1830,5692×1877×1830,5382×1877×1830,5692×1877×1830,5382×1877×1830,5692×1877×1830,5382×1877×1830,5692×1877×1830,5382×1877×1830,5692×1877×1830,5382×1877×1830,5692×1877×1830,5382×1877×1830,5692×1877×1830,5382×1877×1830,5692×1877×1830,5382×1877×1830,5692×1877×1830,5382×1877×1830,5692×1877×1830,5382×1877×1830,5692×1877×1830
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406,3096,3406
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
