Feature,54932,54933
高度(mm),1618,1618
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,,
驱动电机数,双电机,双电机
驱动方式,,
风阻系数(Cd),-,-
陡坡缓降,●,●
长度(mm),4902,4902
长*宽*高(mm),4902*1935*1618,4902*1935*1618
钥匙类型,,
道路救援呼叫,●,●
道路交通标识识别,○,●
远程启动功能,,
远光灯光源,,
近光灯光源,,
运动风格座椅,○,●
运动外观套件,●,●
辅助驾驶等级,,
轴距(mm),2928,2928
轮圈材质,,
车顶行李架,-,●
车门数(个),,
车门开启方式,平开门,平开门
车道居中保持,○,●
车道偏离预警系统,●,●
车道保持辅助系统,○,●
车载空气净化器,-,○
车载智能系统,,
车身结构_y,SUV跨界车,SUV跨界车
车身结构_x,5门5座SUV跨界车,5门5座SUV跨界车
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,奥迪e-tron(进口) 2022款 Sportback 55 quattro 豪华型,奥迪e-tron(进口) 2022款 Sportback 55 quattro 臻选型
车前雾灯,-,-
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,-,-
车体结构,承载式,承载式
语音识别控制系统,,
触摸式阅读灯,●,●
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
自适应远近光,●,●
自动驻车,-,-
自动泊车入位,○,●
自动头灯,●,●
能量回收系统,●,●
能源类型,纯电动,纯电动
胎压监测功能,,
缺气保用轮胎,-,-
级别,中大型SUV,中大型SUV
简称,2挡自动,2挡自动
第二排座椅调节,-,-
第二排座椅功能,-,
空调温度控制方式,,
空气悬架,●,●
百公里耗电量(kWh/100km),19.7,19.7
疲劳驾驶提示,●,●
电芯品牌,-,-
电能当量燃料消耗量(L/100km),2.2,2.2
电池预加热,●,●
电池能量(kWh),95,95
电池类型,,
电池快充电量范围(%)_y,80,80
电池快充电量范围(%)_x,80,80
电池快充时间(小时)_y,0.67,0.67
电池快充时间(小时)_x,0.67,0.67
电池冷却方式,液冷,液冷
电机类型,交流/异步,交流/异步
电机布局,前置+后置,前置+后置
电动机总扭矩(N·m),664,664
电动机总功率(kW),300,300
电动机总功率(Ps),408,408
电动机(Ps),408,408
电动座椅记忆功能,,
电动吸合车门,,
