Feature,57490,57494,60201,60202,61022,61466,61467,61468,61469,61470,61471,61472,61473,61474,63492,63493,63494,63495,63496,64276,64626
高度(mm),1453,1466,1453,1453,1453,1451,1464,1450,1466,1450,1451,1464,1450,1466,1451,1464,1450,1466,1453,1451,1450
驾驶辅助影像,-,-,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),3832,3993,3832,3832,3832,3832,3993,3853,4008,3853,3832,3993,3853,4008,3832,3993,3853,4008,3832,3832,3853
长*宽*高(mm),3832*1727*1453,3993*1727*1466,3832*1727*1453,3832*1727*1453,3832*1727*1453,3832*1727*1451,3993*1727*1464,3853*1727*1450,4008*1727*1466,3853*1727*1450,3832*1727*1451,3993*1727*1464,3853*1727*1450,4008*1727*1466,3832*1727*1451,3993*1727*1464,3853*1727*1450,4008*1727*1466,3832*1727*1453,3832*1727*1451,3853*1727*1450
钥匙类型,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,○,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
运动外观套件,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2495,2567,2495,2495,2495,2495,2567,2495,2567,2495,2495,2567,2495,2567,2495,2567,2495,2567,2495,2495,2495
轮圈材质,,,,,,,,,,,,,,,,,,,,,
车门数(个),3,5,2,2,2,3,5,3,5,3,3,5,3,5,3,5,3,5,2,3,3
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
