Feature,64997,65144,65369,67732,69730,69760,69842,69848,69849,69850,69851,69852,69853,69854,69855,69856,72549,72550
高度(mm),1469,1469,1469,1489,1489,1489,1489,1469,1469,1469,1469,1469,1469,1469,1489,1489,1489,1489
驾驶辅助影像,,,-,,,,,,,-,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4948,4948,4948,5006,5006,5006,5006,4948,4948,4948,4948,4948,4948,4948,5006,5006,5006,5006
长*宽*高(mm),4948*1836*1469,4948*1836*1469,4948*1836*1469,5006*1850*1489,5006*1850*1489,5006*1850*1489,5006*1850*1489,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,5006*1850*1489,5006*1850*1489,5006*1850*1489,5006*1850*1489
钥匙类型,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●
道路交通标识识别,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●
远程启动功能,-,-,-,,,,,,,-,-,-,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,
辅助驾驶系统,,,-,,,,,-,,-,-,-,-,,,,,
辅助驾驶等级,-,-,-,,,,,-,,-,-,-,-,,,,,
辅助泊车入位,-,-,-,●,-,●,-,-,●,-,-,-,-,●,●,●,-,-
辅助变道,-,-,-,●,-,○,-,-,-,-,-,-,-,-,○,●,-,-
轴距(mm),2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871
轮圈材质,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,-,●,-,●,-,●,●,-,●,●,●,●,●,●,-,-
转向头灯,-,-,-,●,○,●,○,-,●,-,-,-,-,●,●,●,-,-
车门数(个),,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,●,●,●,●,-,●,-,-,-,-,●,●,●,●,●
车道偏离预警系统,-,-,-,●,●,●,●,-,●,-,-,-,-,●,●,●,●,●
车道保持辅助系统,-,-,-,●,●,●,●,-,●,-,-,-,-,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,-,,-,-,-,-,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,○,●,-,-,-,○,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,
车机系统存储(GB),-,-,-,,,,,-,-,-,-,-,-,-,,,,
车机系统内存(GB),-,-,-,,,,,-,-,-,-,-,-,-,,,,
车机智能芯片,-,-,-,,,,,-,-,-,-,-,-,-,,,,
车型名称,帕萨特 2024款 330TSI 精英版,帕萨特 2024款 330TSI 星空精英版,帕萨特 2024款 280TSI 商务版,帕萨特 2025款 Pro 380TSI 星空龙尊版,帕萨特 2025款 Pro 380TSI 龙耀版,帕萨特 2025款 Pro 380TSI 星空龙运版,帕萨特 2025款 Pro 380TSI 星空龙耀版,帕萨特 2025款 出众款 380TSI 龙腾版,帕萨特 2025款 出众款 380TSI 龙耀版,帕萨特 2025款 出众款 280TSI 商务版,帕萨特 2025款 出众款 330TSI 精英版,帕萨特 2025款 出众款 330TSI 星空精英版,帕萨特 2025款 出众款 380TSI 星空龙腾版,帕萨特 2025款 出众款 380TSI 星空龙耀版,帕萨特 2025款 Pro 380TSI 龙运版,帕萨特 2025款 Pro 380TSI 龙尊版,帕萨特 2025款 Pro 300TSI 龙耀版,帕萨特 2025款 Pro 300TSI 星空龙耀版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,●,-,-
车内环境氛围灯,-,-,-,,,,,-,,-,-,-,-,,,,,
车内摄像头数量,-,-,-,,,,,-,-,-,-,-,-,-,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,,,,,,,,,,,,,,,
语音连续识别,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●
语音识别控制系统,,,,,,,,-,,-,-,-,-,,,,,
语音助手唤醒词,-,-,-,,,,,-,-,-,-,-,-,-,,,,
语音分区域唤醒识别,-,-,-,,,,,-,-,-,-,-,-,-,,,,
语音免唤醒词,-,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●,●,●
记忆泊车,-,-,-,●,-,○,-,-,-,-,-,-,-,-,○,●,-,-
触摸式阅读灯,●,●,-,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,●,●,●,●,-,●,-,-,-,-,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
