Feature,66755,66790,66886,66887,66889,66890,66891
高度(mm),1429,1429,1429,1429,1429,1429,1429
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-
长度(mm),5076,5076,5076,5076,5076,5076,5076
长*宽*高(mm),5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,●,●,●,●,○,●,●
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,●,○,○,-,○,○
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
运动风格座椅,●,●,●,●,●,●,●
辅助驾驶等级,,,,,-,,
辅助泊车入位,●,●,●,●,○,●,●
轴距(mm),3026,3026,3026,3026,3026,3026,3026
轮圈材质,,,,,,,
转向头灯,●,●,●,●,●,●,●
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,○,○,-,○,○
车道偏离预警系统,●,●,●,●,●,●,●
车道保持辅助系统,●,●,○,○,-,○,○
车载空气净化器,●,●,●,●,●,●,●
车载智能系统,,,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车型名称,奥迪A7L 2024款 55 TFSI quattro RS 套件竞速版,奥迪A7L 2024款 55 TFSI quattro 黑武士版,奥迪A7L 2024款 45 TFSI quattro 黑武士版,奥迪A7L 2024款 45 TFSI quattro RS 套件竞速版,奥迪A7L 2024款 45 TFSI 豪华型,奥迪A7L 2024款 45 TFSI quattro 奢享型,奥迪A7L 2024款 55 TFSI quattro 旗舰型
车前雾灯,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,○,○
车内环境氛围灯,,,,,,,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,
负离子发生器,-,-,-,-,-,○,○
语音识别控制系统,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●
触屏振动反馈,●,●,●,●,●,●,●
被动行人保护,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●
能量回收系统,-,-,-,-,-,-,●
能源类型_y,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油,汽油,汽油,汽油+48V轻混系统
