Feature,62440,62441,64724,64725,64726,66151,66152
高度(mm),1480,1480,1480,1480,1480,1480,1480
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
首任车主质保政策,-,-,-,-,-,-,-
风阻系数(Cd),0.22,0.22,0.22,0.22,0.22,0.22,0.22
面部识别,-,●,-,-,-,-,●
隐藏电动门把手,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-
长度(mm),4905,4905,4905,4905,4905,4905,4905
长*宽*高(mm),4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480,4905*1910*1480
钥匙类型,,,,,,,
配气机构,-,DOHC,-,DOHC,DOHC,-,-
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,-,自然吸气,-,自然吸气,自然吸气,-,-
近光灯光源,,,,,,,
辅助驾驶等级,,,,,,,
轴距(mm),2900,2900,2900,2900,2900,2900,2900
轮圈材质,,,,,,,
车门数(个),5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-
车载智能系统,,,,,,,
车载KTV,●,●,●,●,●,●,●
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车机系统存储(GB),,,,,,,
车机系统内存(GB),,,,,,,
车机智能芯片,,,,,,,
车型名称,长安启源A07 2023款 纯电 515 Pro,长安启源A07 2023款 增程 200 Max,长安启源A07 2023款 纯电 515 Air,长安启源A07 2023款 增程 200 Air,长安启源A07 2023款 增程 200 Pro,长安启源A07 2023款 纯电 515 Air+,长安启源A07 2023款 纯电 515 Max
车前雾灯,-,-,-,-,-,-,-
车内香氛装置,-,●,-,-,-,-,-
车内环境氛围灯,,,-,-,,-,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,
负离子发生器,-,●,-,-,-,-,-
语音连续识别,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,
语音分区域唤醒识别,,,,,,,
语音免唤醒词,-,●,-,-,-,-,●
触摸式阅读灯,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●
能源类型,纯电动,增程式,纯电动,增程式,增程式,纯电动,纯电动
胎压监测功能,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,-,铝合金,-,铝合金,铝合金,-,-
缸体材料,-,铝合金,-,铝合金,铝合金,-,-
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,
离去角(°),19,19,19,19,19,19,19
百公里耗电量(kWh/100km),-,15.5,-,15.5,15.5,-,-
疲劳驾驶提示,-,●,-,-,-,-,●
电芯品牌,宁德时代,宁德时代/中创新航,宁德时代,宁德时代/中创新航,宁德时代/中创新航,宁德时代,宁德时代
电能当量燃料消耗量(L/100km),-,1.75,-,1.75,1.75,-,-
电池预加热,●,●,●,●,●,●,●
电池能量密度(Wh/kg),171,177,171,177,177,171,171
电池能量(kWh),58.1,28.4,58.1,28.4,28.4,58.1,58.1
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池类型,三元锂电池,磷酸铁锂电池,三元锂电池,磷酸铁锂电池,磷酸铁锂电池,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),320,320,320,320,320,320,320
电动机总功率(kW),190,160,190,160,160,190,190
电动机总功率(Ps),258,218,258,218,218,258,258
电动机(Ps),258,218,258,218,218,258,258
电动座椅记忆功能,,,-,-,,,
电动吸合车门,-,,-,-,-,,
电动后备厢位置记忆,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●
环保标准_y,-,国VI,-,国VI,国VI,-,-
环保标准_x,-,国VI,-,国VI,国VI,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,-,92号,-,92号,92号,-,-
燃料形式,纯电动,增程式,纯电动,增程式,增程式,纯电动,纯电动
温度分区控制,●,●,●,●,●,●,●
液晶仪表尺寸,-,-,-,-,-,-,-
油箱容积(L),-,45,-,45,45,-,-
气缸数(个),-,4,-,4,4,-,-
气缸排列形式,-,L,-,L,L,-,-
毫米波雷达数量,,,,,,,
每缸气门数(个),-,4,-,4,4,-,-
最高车速(km/h),172,172,172,172,172,172,172
最大马力(Ps),258,95,258,95,95,258,258
最大满载质量(kg),2190,2255,2190,2255,2255,2190,2190
最大扭矩转速(rpm),-,4000,-,4000,4000,-,-
最大扭矩(N·m)_y,-,141,-,141,141,-,-
最大扭矩(N·m)_x,-,320,-,320,320,-,-
最大功率转速(rpm),-,5000,-,5000,5000,-,-
最大功率(kW)_y,190,70,190,70,70,190,190
最大功率(kW)_x,190,160,190,160,160,190,190
最大净功率(kW),-,66,-,66,66,-,-
最低荷电状态油耗(L/100km),-,5,-,5,5,-,-
无钥匙进入功能,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●
无框设计车门,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,
整车质保,三年或15万公里,三年或15万公里,三年或15万公里,三年或15万公里,三年或15万公里,三年或15万公里,三年或15万公里
