Feature,69915,69916,70133,70134,70612,71792
高度(mm),1520,1520,1520,1520,1520,1520
高压平台（V）,400,400,400,400,400,400
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-
长度(mm),4865,4865,4865,4865,4865,4865
长*宽*高(mm),4865*1875*1520,4865*1875*1520,4865*1875*1520,4865*1875*1520,4865*1875*1520,4865*1875*1520
钥匙类型,,,,,,
遥控泊车,-,-,●,●,-,-
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,-,●,●,●,●,-
透明底盘/540度影像,●,●,●,●,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
辅助驾驶路段,-,-,,,-,-
辅助驾驶芯片,-,-,,,-,-
辅助驾驶系统,-,,,,,-
辅助驾驶等级,-,,,,,-
辅助泊车入位,-,-,●,●,-,-
辅助变道,-,-,●,●,-,-
辅助匝道自动驶出(入),-,-,●,●,-,-
轴距(mm),2775,2775,2775,2775,2775,2775
轮圈材质,,,,,,
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,●,●,●,●,-
车道偏离预警系统,-,●,●,●,●,-
车道保持辅助系统,-,●,●,●,●,-
车载空气净化器,-,-,-,-,-,-
车载智能系统,,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,AION RT 2025款 520智享版,AION RT 2025款 650智豪版,AION RT 2025款 520激光雷达版,AION RT 2025款 650激光雷达版,AION RT 2025款 520智豪版,AION RT 2025款 650 智享版
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,-,-,,,-,-
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
语音连续识别,●,●,●,●,●,●
语音识别控制系统,,,,,,
语音助手唤醒词,,,,,,
语音分区域唤醒识别,,,,,,
记忆泊车,-,-,●,●,-,-
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,●,●,●,●,●,●
芯片总算力,-,-,,,-,-
自适应远近光,-,●,●,●,●,-
自动驻车,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
空调温度控制方式,,,,,,
离去角(°),17,17,17,17,17,17
百公里耗电量(kWh/100km),11.7,11.9,11.7,11.9,11.7,11.9
疲劳驾驶提示,-,-,-,-,-,-
电芯品牌,,,,,,
电能当量燃料消耗量(L/100km),1.36,1.38,1.36,1.38,1.36,1.38
电池预加热,●,●,●,●,●,●
电池能量(kWh),55.1,68.1,55.1,68.1,55.1,68.1
电池类型,,,,,,
电池特有技术,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池,弹匣电池
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.3,0.3,0.3,0.3,0.3,0.3
电池快充时间(小时)_x,0.3,0.3,0.3,0.3,0.3,0.3
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),204,224,204,224,204,224
电动机总扭矩(N·m),240,240,240,240,240,240
电动机总功率(kW),150,165,150,165,150,165
电动机(Ps),204,224,204,224,204,224
电动座椅记忆功能,-,-,,,-,-
电动后备厢,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
热泵空调,●,●,●,●,●,●
激光雷达线数,-,-,,,-,-
激光雷达数量,-,-,,,-,-
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
毫米波雷达数量,-,,,,,-
最高车速(km/h),163,163,163,163,163,163
最大满载质量(kg),2120,2220,2120,2220,2120,2220
最大扭矩(N·m),240,240,240,240,240,240
最大功率(kW),150,165,150,165,150,165
无钥匙进入功能,,,,,,
无钥匙启动系统,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-
方向盘离手检测,-,-,●,●,-,-
方向盘材质,,,,,,
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
方向盘位置调节,,,,,,
整车质保,,,,,,
整备质量(kg),1670,1750,1700,1780,1670,1750
摄像头数量,,,,,,
接近角(°),14,14,14,14,14,14
换挡形式,,,,,,
挡位个数,1,1,1,1,1,1
扬声器数量,,,,,,
扬声器品牌名称,-,-,-,-,-,-
手机无线充电功能,-,-,,,-,-
手机无线充电功率,-,-,,,-,-
手机互联/映射,,,,,,
手机APP远程功能,,,,,,
慢充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
感应雨刷功能,,,,,,
快充接口位置,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧,车右前侧
快充功能,支持,支持,支持,支持,支持,支持
快充功率(kW),150,150,150,150,150,150
座椅材质,,,,,,
座位数(个),,,,,,
应用商店,●,●,●,●,●,●
并线辅助,-,-,●,●,-,-
巡航系统,,,,,,
导航路况信息显示,●,●,●,●,●,●
对外放电,●,●,●,●,●,●
对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3
宽度(mm),1875,1875,1875,1875,1875,1875
官方0-100km/h加速(s),7.5,7.7,7.5,7.7,7.5,7.7
安全带未系提醒,,,,,,
天窗类型,-,,,,,-
大灯高度可调,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●
多媒体/充电接口,,,,,,
多功能方向盘,●,●,●,●,●,●
外后视镜功能,,,,,,
备胎规格,,,,,,
地图品牌,,,,,,
后雨刷,-,-,-,-,-,-
后轮距(mm),1606,1606,1606,1606,1606,1606
后轮胎规格,,,,,,
后方碰撞预警,-,-,●,●,-,-
后排独立空调,-,-,-,-,-,-
后排杯架,-,-,-,●,-,-
后排座椅放倒形式,,,,,,
后悬架类型,,,,,,
后座出风口,●,●,●,●,●,●
后备厢容积(L),540,540,540,540,540,540
后制动器类型,,,,,,
可见即可说,●,●,●,●,●,●
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),11.98万,13.58万,15.58万,16.58万,12.58万,12.88万
厂商,埃安,埃安,埃安,埃安,埃安,埃安
卫星导航系统,●,●,●,●,●,●
助力类型,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-
副座椅调节方式,,,,,,
前轮距(mm),1602,1602,1602,1602,1602,1602
前轮胎规格,,,,,,
前电动机最大扭矩(N·m),240,240,240,240,240,240
前电动机最大功率(kW),150,165,150,165,150,165
前电动机型号,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51,TZ180XYXOF51
前电动机品牌,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力,锐湃动力
前方碰撞预警,-,●,●,●,●,-
前方感知摄像头,-,,,,,-
前排座椅功能,,,,,,
前悬架类型,,,,,,
前制动器类型,,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-
前/后排侧气囊,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
