Feature,65125,65239,65240,65241,69164,69165,69166,69167,69832
高度(mm),1888,1888,1888,1888,1888,1888,1888,1888,1888
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动方式,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,-,,,-,,,,-
长度(mm),4956,4956,4956,4956,4956,4956,4956,4956,4956
长*宽*高(mm),4956*2073*1888,4956*2073*1888,4956*2073*1888,4956*2073*1888,4956*2073*1888,4956*2073*1888,4956*2073*1888,4956*2073*1888,4956*2073*1888
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
进气形式,涡轮增压+电动增压,涡轮增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压
近光灯光源,,,,,,,,,
辅助驾驶等级,,,,,,,,,
轴距(mm),2923,2923,2923,2923,2923,2923,2923,2923,2923
轮圈材质,,,,,,,,,
转向头灯,●,-,-,●,-,-,●,●,●
车顶行李架,●,○,●,●,○,●,●,●,●
车门数(个),,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-
车道居中保持,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,
车载冰箱,○,○,○,○,○,○,○,○,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
