Feature,1011868,1012070,1012071,1012072,1012073,1012074,1012075,1012076,1012077,1012078,1012079,1012080,1012081,1012082,1012083,1012084,1012085,1012086,1012087,1012088,1012089,1012090,1012091,1012092,1016008,1016009,1016010,1016011,1016012,1016013,1016014,1016015,1016062,1016063,1016064,1016065,1016066,1016067,1016070,1016071,1016072,1016073,1016074,1016075,1017853,1017854,1017855,1017856,1017857,1017858,1017859
车型名称,长安神骐T30 2021款 1.6L豪华型单排3.6米标准车DAM16KR,长安神骐T30 2021款 1.6L舒适型单排3.6米标准车DAM16KR,长安神骐T30 2021款 1.6L舒适型单排3.3米标准车DAM16KR,长安神骐T30 2021款 1.6L舒适型双排2.55米标准车DAM16KR,长安神骐T30 2021款 1.6L舒适型双排3.01米标准车DAM16KR,长安神骐T30 2021款 1.6L舒适型单排3.3米仓栅车DAM16KR,长安神骐T30 2021款 1.6L舒适型双排2.55米仓栅车DAM16KR,长安神骐T30 2021款 1.6L舒适型单排3.6米仓栅车DAM16KR,长安神骐T30 2021款 1.6L舒适型双排3.01米仓栅车DAM16KR,长安神骐T30 2021款 1.6L舒适型单排3.3米钢板厢货DAM16KR,长安神骐T30 2021款 1.6L舒适型双排2.55米钢板厢货DAM16KR,长安神骐T30 2021款 1.6L舒适型单排3.6米钢板厢货DAM16KR,长安神骐T30 2021款 1.6L舒适型双排3.01米钢板厢货DAM16KR,长安神骐T30 2021款 1.6L豪华型单排3.3米标准车DAM16KR,长安神骐T30 2021款 1.6L豪华型双排2.55米标准车DAM16KR,长安神骐T30 2021款 1.6L豪华型双排3.01米标准车DAM16KR,长安神骐T30 2021款 1.6L豪华型单排3.3米仓栅车DAM16KR,长安神骐T30 2021款 1.6L豪华型双排2.55米仓栅车DAM16KR,长安神骐T30 2021款 1.6L豪华型单排3.6米仓栅车DAM16KR,长安神骐T30 2021款 1.6L豪华型双排3.01米仓栅车DAM16KR,长安神骐T30 2021款 1.6L豪华型单排3.3米钢板厢货DAM16KR,长安神骐T30 2021款 1.6L豪华型双排2.55米钢板厢货DAM16KR,长安神骐T30 2021款 1.6L豪华型单排3.6米钢板厢货DAM16KR,长安神骐T30 2021款 1.6L豪华型双排3.01米钢板厢货DAM16KR,长安神骐T30 2021款 1.6L单排3.3米标准车无空调舒适型DAM16KR,长安神骐T30 2021款 1.6L单排3.3米标准车无空调豪华型DAM16KR,长安神骐T30 2021款 1.6L双排2.55米标准车无空调舒适型DAM16KR,长安神骐T30 2021款 1.6L双排2.55米标准车无空调豪华型DAM16KR,长安神骐T30 2021款 1.6L单排3.6米标准车无空调舒适型DAM16KR,长安神骐T30 2021款 1.6L单排3.6米标准车无空调豪华型DAM16KR,长安神骐T30 2021款 1.6L双排3.01米标准车无空调舒适型DAM16KR,长安神骐T30 2021款 1.6L双排3.01米标准车无空调豪华型DAM16KR,长安神骐T30 2023款 1.6L CNG单排3.3米标准车舒适型DAM16KRC,长安神骐T30 2023款 1.6L CNG单排3.3米标准车豪华型DAM16KRC,长安神骐T30 2023款 1.6L CNG单排3.6米标准车舒适型DAM16KRC,长安神骐T30 2023款 1.6L CNG单排3.6米标准车豪华型DAM16KRC,长安神骐T30 2023款 1.6L CNG双排3.01米标准车舒适型DAM16KRC,长安神骐T30 2023款 1.6L CNG双排3.01米标准车豪华型DAM16KRC,长安神骐T30 2023款 1.6L CNG单排3.6米钢板厢货舒适型DAM16KRC,长安神骐T30 2023款 1.6L CNG单排3.6米钢板厢货豪华型DAM16KRC,长安神骐T30 2023款 1.6L CNG单排3.3米复合板厢货舒适型DAM16KRC,长安神骐T30 2023款 1.6L CNG单排3.3米复合板厢货豪华型DAM16KRC,长安神骐T30 2023款 1.6L CNG单排3.6米复合板厢货舒适型DAM16KRC,长安神骐T30 2023款 1.6L CNG单排3.6米复合板厢货豪华型DAM16KRC,长安神骐T30 2024款 1.6L单排3.3米标准车 空调超值版,长安神骐T30 2024款 1.6L双排2.55米标准车 空调超值版,长安神骐T30 2024款 1.6L单排3.3米钢板厢货 空调超值版,长安神骐T30 2024款 1.6L双排2.55米钢板厢货 空调超值版,长安神骐T30 2024款 1.6L单排3.3米复合板厢货 空调超值版,长安神骐T30 2024款 1.6LCNG单排3.3米标准车 空调超值版,长安神骐T30 2024款 1.6LCNG单排3.3米复合板厢货 空调超值版
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3600x1700x375,3600x1700x375,3300x1700x375,2550x1700x375,3010x1700x375,3300x1700x375,2550x1700x375,3600x1700x375,3010x1700x375,3340x1730x1750,2595x1730x1750,3640x1730x1750,3055x1730x1750,3300x1700x375,2550x1700x375,3010x1700x375,3300x1700x375,2550x1700x375,3600x1700x375,3010x1700x375,3340x1730x1750,2595x1730x1750,3640x1730x1750,3055x1730x1750,3300x1700x375,3300x1700x375,2550x1700x375,2550x1700x375,3600x1700x375,3600x1700x375,3010x1700x375,3010x1700x375,3300x1700x375,3300x1700x375,3600x1700x375,3600x1700x375,3010x1700x375,3010x1700x375,3600x1730x1750,3600x1730x1750,3275x1680x1750,3275x1680x1750,3575x1680x1750,3575x1680x1750,3300x1700x375,2550x1700x375,3340x1730x1750,2595x1730x1750,3275x1680x1755,3300x1700x375,3275x1680x1750
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-
蓝牙/车载电话,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,●,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,汽油,汽油,汽油,汽油,汽油,CNG,CNG
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,汽油,汽油,汽油,汽油,汽油,CNG,CNG
胎压监测功能,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,-,-,-,-,-,-,-,-,-,-,-,-,铸铁,铸铁,铸铁,铸铁,铸铁,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池能量(kWh),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总功率(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机(Ps),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,-,-,-,-,-,-,-,-,-,-,-,-,92号,92号,92号,92号,92号,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,-,-,-,-,-,-,-,-,-,-,-,-,55,55,55,55,55,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),110,110,110,110,110,110,110,110,110,100,100,100,100,110,110,110,110,110,110,110,100,100,100,100,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,100,100,100,110,110
最大马力(Ps),122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,105,105,105,105,105,105,105,105,105,105,105,105,122,122,122,122,122,105,105
最大载重质量(kg),1835,1835,1855,1495,1495,1745,1495,1725,1460,1685,1350,1640,1350,1855,1495,1495,1745,1495,1725,1460,1685,1350,1640,1350,1855,1855,1495,1495,1835,1835,1495,1495,1705,1705,1670,1670,1410,1410,1475,1475,1495,1495,1495,1495,1855,1495,1685,1350,1630,1705,1495
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,-,-,-,-,-,-,-,-,-,-,-,-,4800,4800,4800,4800,4800,-,-
最大扭矩(N·m)_y,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,-,-,-,-,-,-,-,-,-,-,-,-,158,158,158,158,158,-,-
最大扭矩(N·m)_x,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,-,-,-,-,-,-,-,-,-,-,-,-,158,158,158,158,158,-,-
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,-,-,-,-,-,-,-,-,-,-,-,-,6000,6000,6000,6000,6000,-,-
最大功率(kW)_y,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,77,77,77,77,77,77,77,77,77,77,77,77,90,90,90,90,90,77,77
最大功率(kW)_x,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,77,77,77,77,77,77,77,77,77,77,77,77,90,90,90,90,90,77,77
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
