Feature,1011383,1011385,1011387,1011389,1011391,1011393,1011395,1011397
高度(mm),1850,1850,1850,1850,1850,1850,1850,1850
驾驶辅助影像,,,,,,,,
驱动方式,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,-,,-,,-,,-
长度(mm),5560,5560,5560,5560,5560,5560,5560,5560
长*宽*高(mm),5560×1840×1850,5560×1840×1850,5560×1840×1850,5560×1840×1850,5560×1840×1850,5560×1840×1850,5560×1840×1850,5560×1840×1850
钥匙类型,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,
轴距(mm),3405,3405,3405,3405,3405,3405,3405,3405
轮圈材质,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-
