Feature,55960,62222,62223,62421,62422,67664,68427,68428,68429,68430,68499,68502
高度(mm),1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
驾驶辅助影像,,,,,,,,,,,,
驾驶模式切换,,,,-,,,-,,,,,-
驻车制动类型,,,,,,,,,,,,
驱动电机数,单电机,-,-,-,-,单电机,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4638,4638,4638,4638,4638,4638,4638,4638,4638,4638,4638,4638
长*宽*高(mm),4638*1820*1460,4638*1820*1460,4638*1820*1460,4638*1820*1460,4638*1820*1460,4638*1820*1460,4638*1820*1460,4638*1820*1460,4638*1820*1460,4638*1820*1460,4638*1820*1460,4638*1820*1460
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
透明底盘/540度影像,-,-,●,-,●,●,-,-,●,●,-,-
远程启动功能,-,,,-,,-,-,,,,-,-
远光灯光源,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,
轴距(mm),2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650
轮圈材质,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,○,-,-,-,-,●,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,-
车联网,○,●,●,●,●,●,●,●,●,●,-,-
车窗防夹手功能,○,●,●,-,●,●,-,●,●,●,●,-
车窗一键升降功能,,,,-,,,-,,,,,-
车机系统内存(GB),-,-,-,-,-,-,,,,,-,-
车机智能芯片,-,,,,,-,,,,,-,-
车型名称,帝豪 2022款 第4代 1.8L DHT醇行版,帝豪 2023款 第4代冠军版 1.5L CVT豪华型,帝豪 2023款 第4代冠军版 1.5L CVT旗舰型,帝豪 2023款 第4代冠军版 1.5L 手动豪华型,帝豪 2023款 第4代冠军版 1.5L CVT尊贵型,帝豪 2024款 第4代 1.8L DHT醇净版,帝豪 2025款 第4代 1.5L 手动龙腾版,帝豪 2025款 第4代 1.5L CVT龙腾版,帝豪 2025款 第4代 1.5L CVT尊贵型,帝豪 2025款 第4代 1.5L CVT旗舰型,帝豪 2025款 第4代 1.5L CVT星耀版,帝豪 2025款 第4代 1.5L 手动星耀版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
