Feature,49405,49406,49407,49526,49527
高度(mm),1460,1460,1460,1460,1460
驾驶辅助影像,,,,,
驾驶模式切换,,,,-,
驻车制动类型,,,,,
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
陡坡缓降,-,-,-,-,-
长度(mm),4780,4780,4780,4780,4780
长*宽*高(mm),4780*1815*1460,4780*1815*1460,4780*1815*1460,4780*1815*1460,4780*1815*1460
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,●,●,-,●
远程启动功能,-,,,-,
远光灯光源,,,,,
进气形式,自然吸气,自然吸气,涡轮增压,自然吸气,涡轮增压
近光灯光源,,,,,
辅助驾驶系统,-,,,-,
辅助驾驶等级,-,,,-,
轴距(mm),2770,2770,2770,2770,2770
轮圈材质,,,,,
转向辅助灯,-,-,●,-,●
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,●,●,-,●
车道偏离预警系统,-,●,●,-,●
车道保持辅助系统,-,●,●,-,●
车载空气净化器,●,●,●,●,●
车载智能系统,-,,,-,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,-,●,●,-,●
车窗防夹手功能,●,●,●,-,●
车窗一键升降功能,,,,-,
车型名称,名图 2021款 1.8L CVT GLX精英版,名图 2021款 1.8L CVT LUX尊贵版,名图 2021款 270TGDi DCT TOP旗舰版,名图 2021款 1.8L CVT GLS领先版,名图 2021款 270TGDi DCT LUX尊贵版
车前雾灯,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●
语音识别控制系统,-,,,-,
语音分区域唤醒识别,-,,,-,
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,-,●,●,-,●
自动驻车,●,●,●,●,●
自动头灯,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型车,中型车,中型车,中型车,中型车
简称,CVT无级变速,CVT无级变速,7挡干式双离合,CVT无级变速,7挡干式双离合
第二排座椅调节,-,-,-,-,-
空调温度控制方式,,,,,
离去角(°),18,18,18,18,18
疲劳驾驶提示,-,●,●,-,●
电动座椅记忆功能,-,-,-,-,-
电动后备厢,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号
满载最小离地间隙(mm),116,116,116,116,116
温度分区控制,-,-,-,-,-
液晶仪表尺寸,,,,,
油箱容积(L),52,52,52,52,52
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
每缸气门数(个),4,4,4,4,4
最高车速(km/h),202,202,210,202,210
最大马力(Ps),143,143,170,143,170
最大满载质量(kg),-,1775,1820,1775,1820
最大扭矩转速(rpm),4500,4500,1500-4000,4500,1500-4000
最大扭矩(N·m)_y,175.5,175.5,253,175.5,253
最大扭矩(N·m)_x,175.5,175.5,253,175.5,253
最大功率转速(rpm),6200,6200,5500,6200,5500
最大功率(kW)_y,104.8,104.8,125,104.8,125
最大功率(kW)_x,104.8,104.8,125,104.8,125
最大净功率(kW),104.8,104.8,125,104.8,125
无钥匙进入功能,,,,-,
无钥匙启动系统,●,●,●,-,●
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,●,-,●
方向盘加热,-,-,-,-,-
方向盘位置调节,,,,,
整车质保,-,-,-,-,-
整备质量(kg),1305,1319,1392,1305,1357
接近角(°),14,14,14,14,14
排量(mL),1797,1797,1497,1797,1497
换挡形式,,,,,
挡位个数,无级变速,无级变速,7,无级变速,7
扬声器数量,,,,,
扬声器品牌名称,-,-,-,-,-
手机无线充电功能,-,-,,-,-
手机互联/映射,,,,,
手机APP远程功能,-,,,-,
感应雨刷功能,-,-,-,-,-
感应后备厢,●,●,●,-,●
座椅材质,,,,,
座位数(个),,,,,
并线辅助,-,○,●,-,-
巡航系统,-,,,-,
导航路况信息显示,-,●,●,-,●
宽度(mm),1815,1815,1815,1815,1815
实测油耗(L/100km),-,8,-,-,-
实测100-0km/h制动(m),-,41.87,40.53,-,-
实测0-100km/h加速(s),-,10.34,8.27,-,-
官方0-100km/h加速(s),-,-,-,-,-
安全带未系提醒,,,,,
天窗类型,,,,-,
大灯高度可调,●,●,●,●,●
大灯延时关闭,●,●,●,●,●
多媒体/充电接口,,,,,
多功能方向盘,●,●,●,●,●
外后视镜功能,,,,,
备胎规格,,,,,
后雨刷,-,-,-,-,-
后轮距(mm),1579,1585,1585,1579,1585
后轮胎规格,,,,,
后排独立空调,-,-,-,-,-
后排杯架,●,●,●,●,●
后排座椅放倒形式,-,-,-,-,-
后悬架类型,,,,,
后座出风口,●,●,●,●,●
后备厢容积(L),530,530,530,530,530
后制动器类型,,,,,
变速箱类型,无级变速箱(CVT),无级变速箱(CVT),干式双离合变速箱(DCT),无级变速箱(CVT),干式双离合变速箱(DCT)
变速箱,CVT无级变速,CVT无级变速,7挡干式双离合,CVT无级变速,7挡干式双离合
发动机电子防盗,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置
发动机型号,G4NK,G4NK,G4FS,G4NK,G4FS
发动机启停技术,●,●,●,●,●
发动机,1.8L 143马力 L4,1.8L 143马力 L4,1.5T 170马力 L4,1.8L 143马力 L4,1.5T 170马力 L4
厂商指导价(元),14.28万,15.08万,16.88万,13.38万,15.88万
厂商,北京现代,北京现代,北京现代,北京现代,北京现代
卫星导航系统,-,●,●,-,●
助力类型,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-
副座椅调节方式,,,,,
前轮距(mm),1567,1574,1574,1567,1574
前轮胎规格,,,,,
前排座椅功能,-,,,-,-
前悬架类型,,,,,
前制动器类型,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●
内后视镜功能,,,,,
全液晶仪表盘,-,●,●,-,●
倒车车侧预警系统,-,○,●,-,-
供油方式,多点电喷,多点电喷,直喷,多点电喷,直喷
主座椅调节方式,,,,,
主动刹车/主动安全系统,-,●,●,-,●
主/副驾驶座电动调节,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,
中控屏幕尺寸,,,,,
上市时间,2021.03,2021.03,2021.03,2021.03,2021.03
上坡辅助,●,●,●,●,●
WLTC综合油耗(L/100km),5.73,5.73,5.81,5.73,5.81
USB/Type-C接口数量,,,,,
OTA升级,-,-,-,-,-
NEDC综合油耗(L/100km),5.3,5.3,5.3,5.3,5.3
LED日间行车灯,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●
ETC装置,○,○,○,○,○
DOW开门预警,-,○,●,-,-
ABS防抱死,●,●,●,●,●
4G/5G网络,-,,,-,
