Feature,47162,47163,47164
高度(mm),1691,1691,1691
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动方式,,,
风阻系数(Cd),-,-,-
陡坡缓降,-,-,-
长度(mm),4897,4897,4897
长*宽*高(mm),4897*1908*1691,4897*1908*1691,4897*1908*1691
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
远程启动功能,,,-
远光灯光源,,,
进气形式,自然吸气,自然吸气,自然吸气
近光灯光源,,,
轴距(mm),2830,2830,2830
轮圈材质,,,
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道偏离预警系统,●,-,-
车道保持辅助系统,-,-,-
车载空气净化器,-,-,-
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,-
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,楼兰 2021款 2.5L XL Plus 两驱智联领先版,楼兰 2021款 2.5L XL 两驱智联豪华版,楼兰 2021款 2.5L XE 两驱精英版
车前雾灯,,,
车内环境氛围灯,,,-
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
语音识别控制系统,,,-
行车电脑显示屏幕,,,
行李厢12V电源接口,●,●,●
蓝牙/车载电话,●,●,●
自适应远近光,-,-,-
自动驻车,-,-,-
自动头灯,●,●,●
膝部气囊,●,●,●
能源类型_y,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油
胎压监测功能,,,
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV
简称,CVT无级变速(模拟7挡),CVT无级变速(模拟7挡),CVT无级变速(模拟7挡)
第二排座椅调节,,,
空载最小离地间隙(mm),185,185,185
空调温度控制方式,,,
离去角(°),20,20,20
疲劳驾驶提示,●,●,-
电动座椅记忆功能,-,-,-
电动后备厢位置记忆,●,●,-
电动后备厢,●,●,-
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,92号,92号,92号
温度分区控制,●,●,●
液晶仪表尺寸,,,
