Feature,1005194,1005195,1005196
高度(mm),1930,1930,1960
驱动方式,前置四驱,前置四驱,前置四驱
陡坡缓降,-,-,-
长度(mm),4583,5010,4583
长*宽*高(mm),4583×1848×1930,5010×1848×1930,4583×1848×1960
配气机构,未知,DOHC,DOHC
道路救援呼叫,-,-,-
进气形式,涡轮增压,自然吸气,自然吸气
运动风格座椅,-,-,-
运动外观套件,-,-,-
轴距(mm),2750,2750,2750
转向辅助灯,-,-,-
转向头灯,-,-,-
车顶行李架,-,-,-
车门数(个),2,2,4
车载电视,-,-,-
车载冰箱,-,-,-
车身结构_y,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-
车窗防夹手功能,-,-,-
车型名称,战旗皮卡 2017款 2.8T柴油铁单排JE493ZLQ4CB,战旗皮卡 2017款 2.2L汽油铁单排4G22C,战旗皮卡 2017款 2.2L汽油铁双排4G22C
车内中控锁,-,-,-
车体结构,非承载式,非承载式,非承载式
货箱尺寸(mm),2050x1560x480,2270x1560x480,1250x1560x480
行程(mm),-,-,-
蓝牙/车载电话,-,-,-
自适应远近光,-,-,-
自动驻车,-,-,-
自动头灯,-,-,-
膝部气囊,-,-,-
能源类型,柴油,汽油,汽油
缺气保用轮胎,-,-,-
缸盖材料,-,铝,铝
缸径(mm),-,-,-
缸体材料,-,未知,未知
级别,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动
空气悬架,-,-,-
电动后备厢,-,-,-
环保标准_y,国IV,国V,国V
环保标准_x,国IV,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-
燃油标号,0号,92号,92号
燃料形式,柴油,汽油,汽油
温度分区控制,-,-,-
油箱容积(L),75,75,75
气缸数(个),4,4,4
气缸排列形式,L,L,L
每缸气门数(个),未知,未知,未知
最高车速(km/h),95,100,100
最小离地间隙(mm),215,215,215
最大马力(Ps),102,112,112
最大载重质量(kg),-,-,-
最大扭矩转速(rpm),2000,2300-2800,2300-2800
最大扭矩(N·m)_y,220,200,200
最大扭矩(N·m)_x,220,200,200
最大功率转速(rpm),3600,4600,4600
最大功率(kW)_y,75,82,82
最大功率(kW)_x,75,82,82
无钥匙启动系统,-,-,-
方向盘记忆,-,-,-
方向盘换挡,-,-,-
方向盘加热,-,-,-
整车质保,-,-,-
整备质量(kg),1550,1545,1600
排量(mL),-,2237,2237
挡位个数,5,5,5
感应后备厢,-,-,-
座位数(个),2,2,5
并线辅助,-,-,-
工信部综合油耗(L/100km),-,-,-
宽度(mm),1848,1848,1848
大灯高度可调,-,-,-
大灯清洗装置,-,-,-
多功能方向盘,-,-,-
后风挡遮阳帘,-,-,-
后雨刷,-,-,-
后轮距(mm),1478,1510,1510
后轮胎规格,215/80 R16,215/80 R16,235/75 R15
后排车门开启方式,-,-,平开门
后排独立空调,-,-,-
后排杯架,-,-,-
后排座椅电动调节,-,-,-
后排侧隐私玻璃,-,-,-
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧
后座出风口,-,-,-
后制动器类型,鼓式,鼓式,鼓式
可变转向比,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-
发动机型号,JE493ZLQ4CB,4G22C,4G22C
发动机启停技术,-,-,-
发动机,2.8T 102马力 L4,2.2L 112马力 L4,2.2L 112马力 L4
压缩比,-,-,-
厂商指导价(元),7.77万,6.45万,7.36万
厂商,北京汽车制造厂,北京汽车制造厂,北京汽车制造厂
助力类型,液压助力,液压助力,液压助力
前轮距(mm),1478,1510,1510
前轮胎规格,215/80 R16,215/80 R16,235/75 R15
前悬架类型,钢板弹簧,钢板弹簧,钢板弹簧
前制动器类型,通风盘式,通风盘式,通风盘式
前/后驻车雷达,-,-,-
前/后电动车窗,-,-,-
前/后排头部气囊(气帘),-,-,-
前/后排侧气囊,-,-,-
前/后中央扶手,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-
制动力分配(EBD/CBC等),-,-,-
供油方式,直喷,多点电喷,多点电喷
主/副驾驶座电动调节,-,-,-
主/副驾驶座安全气囊,-,-,-
中央差速器锁止功能,-,-,-
上市时间,2017.03,2017.03,2017.03
上坡辅助,-,-,-
LED日间行车灯,-,-,-
ISOFIX儿童座椅接口,-,-,-
GPS导航系统,-,-,-
ABS防抱死,-,-,-
220V/230V电源,-,-,-
