Feature,69441,69442,69443,69464,69465
魔毯智能悬架,○,●,●,○,○
高精地图,●,●,●,●,●
高度(mm),1545,1533,1533,1545,1545
高压快充,支持,支持,支持,支持,支持
高压平台（V）,800,800,800,800,800
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,双电机,双电机,双电机,单电机,单电机
驱动方式,,,,,
首任车主质保政策,,,,,
风阻系数(Cd),0.23,0.23,0.23,0.23,0.23
面部识别,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●
陡坡缓降,●,●,●,●,●
防侧翻系统,●,●,●,●,●
长度(mm),4977,4977,4977,4977,4977
长*宽*高(mm),4977*1999*1545,4977*1999*1533,4977*1999*1533,4977*1999*1545,4977*1999*1545
钥匙类型,,,,,
遥控泊车,●,●,●,●,●
道路救援呼叫,●,●,●,●,●
道路交通标识识别,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
近光灯光源,,,,,
运动风格座椅,-,-,○,-,-
辅助驾驶芯片,,,,,
辅助驾驶系统,,,,,
辅助驾驶等级,,,,,
轴距(mm),3005,3005,3005,3005,3005
轮圈材质,,,,,
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,-,-,-,-,-
车载智能系统,,,,,
车载卫星通信,○,○,○,○,○
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车机系统存储(GB),,,,,
车机系统内存(GB),,,,,
车机智能芯片,,,,,
车型名称,极氪001 2025款 WE版 95kWh 四驱,极氪001 2025款 ME版 100kWh 四驱,极氪001 2025款 YOU版 100kWh 四驱,极氪001 2025款 WE版 100kWh 后驱,极氪001 2025款 WE版 95kWh 后驱
车前雾灯,-,-,-,-,-
车内香氛装置,●,●,●,●,●
车内环境氛围灯,,,,,
车内摄像头数量,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
起步提醒,●,●,●,●,-
语音连续识别,●,●,●,●,●
语音识别控制系统,,,,,
语音助手唤醒词,,,,,
语音分区域唤醒识别,,,,,
语音免唤醒词,●,●,●,●,●
记忆泊车,○,○,○,○,○
行车电脑显示屏幕,,,,,
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
芯片总算力,,,,,
自适应远近光,●,●,●,●,●
自动驾驶辅助路段,,,,,
自动驻车,●,●,●,●,●
自动泊车入位,●,●,●,●,●
自动开合车门,○,○,●,○,○
自动头灯,●,●,●,●,●
自动变道辅助,●,●,●,●,●
能量回收系统,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,
级别,中大型车,中大型车,中大型车,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,,,
第二排座椅电动调节,●,●,●,●,●
第二排座椅功能,,,,,
空载最小离地间隙(mm),170,158,158,170,170
空调温度控制方式,,,,,
空气质量监测,●,●,●,●,●
空气悬架,○,●,●,○,○
离去角(°),20,24,24,20,20
疲劳驾驶提示,●,●,●,●,●
电芯品牌,,,,,
电池预加热,●,●,●,●,●
电池能量(kWh),95,100,100,100,95
电池类型,,,,,
电池特有技术,神行电池,麒麟电池,麒麟电池,麒麟电池,神行电池
电池快充电量范围(%)_y,10-80,10-80,10-80,10-80,10-80
电池快充电量范围(%)_x,10-80,10-80,10-80,10-80,10-80
电池快充时间(小时)_y,0.19,0.25,0.25,0.25,0.19
电池快充时间(小时)_x,0.19,0.25,0.25,0.25,0.19
电池冷却方式,液冷,液冷,液冷,液冷,液冷
