Feature,62854,62855,63505,63506,67513,68135,68136,68137,70989,71010,71011
高度(mm),1670,1670,1670,1670,1670,1670,1670,1670,1588,1588,1588
驾驶辅助影像,,,,,,,,,-,,
驾驶模式切换,-,,-,-,-,-,-,-,-,,
驻车制动类型,,,,,,,,,,,
驱动方式,,,,,,,,,,,
首任车主质保政策,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,-,-,●,●,●,●
长度(mm),4358,4358,4358,4358,4358,4358,4358,4358,4400,4400,4400
长*宽*高(mm),4358*1830*1670,4358*1830*1670,4358*1830*1670,4358*1830*1670,4358*1830*1670,4358*1830*1670,4358*1830*1670,4358*1830*1670,4400*1830*1588,4400*1830*1588,4400*1830*1588
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
透明底盘/540度影像,-,-,-,-,-,-,-,-,-,-,●
远程启动功能,,,-,-,-,-,-,-,,,
远光灯光源,,,,,,,,,,,
进气形式,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,●,●,●
轴距(mm),2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630
轮圈材质,,,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,-,-,-
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,-,-,-,-,-,-,-,-,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,-,-,-,-,-,-,●,●,●
车窗防夹手功能,-,●,-,●,-,-,-,-,-,●,●
车窗一键升降功能,-,,-,,-,-,-,-,-,,
车型名称,瑞虎5x 2023款 1.5L CVT豪华型,瑞虎5x 2023款 1.5T CVT豪华型,瑞虎5x 2023款 1.5L CVT新动版,瑞虎5x 2023款 1.5L CVT新享版,瑞虎5x 2024款 1.5L CVT新锐版,瑞虎5x 2024款 惠民版 1.5L 手动都市型,瑞虎5x 2024款 惠民版 1.5L 手动时尚型,瑞虎5x 2024款 惠民版 1.5L CVT时尚型,瑞虎5x 2025款 高能版 1.5T 手动标准型,瑞虎5x 2025款 高能版 1.5T CVT舒适型,瑞虎5x 2025款 高能版 1.5T CVT豪华型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,-,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,●,●,●,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,
语音识别控制系统,,,-,-,-,-,-,-,,,
语音助手唤醒词,,,-,-,-,-,-,-,,,
语音分区域唤醒识别,,,-,-,-,-,-,-,,,
行车电脑显示屏幕,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,-,-,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
简称,CVT无级变速(模拟9挡),CVT无级变速(模拟9挡),CVT无级变速(模拟9挡),CVT无级变速(模拟9挡),CVT无级变速(模拟9挡),5挡手动,5挡手动,CVT无级变速(模拟9挡),6挡手动,CVT无级变速,CVT无级变速
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,
离去角(°),24,24,24,24,24,24,24,24,23,23,23
疲劳驾驶提示,-,-,-,-,-,-,-,-,●,●,●
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,
油箱容积(L),51,51,51,51,51,51,51,51,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
