Feature,62582,62619,62620
高度(mm),1633,1633,1633
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动电机数,单电机,单电机,单电机
驱动方式,,,
风阻系数(Cd),-,-,-
面部识别,-,●,●
陡坡缓降,●,●,●
长度(mm),4401,4401,4401
长*宽*高(mm),4401*1867*1633,4401*1867*1633,4401*1867*1633
钥匙类型,,,
遥控泊车,-,●,●
道路救援呼叫,●,●,●
道路交通标识识别,●,●,●
透明底盘/540度影像,●,●,●
远程启动功能,,,
远光灯光源,,,
近光灯光源,,,
辅助驾驶系统,,,
辅助驾驶等级,,,
轴距(mm),2750,2750,2750
轮圈材质,,,
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道居中保持,●,●,●
车道偏离预警系统,●,●,●
车道保持辅助系统,●,●,●
车载空气净化器,-,-,-
车身结构_y,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,欧拉芭蕾猫 2023款 401km 豪华型,欧拉芭蕾猫 2023款 401km 尊贵型,欧拉芭蕾猫 2023款 500km 尊贵型
车前雾灯,-,-,-
车内环境氛围灯,,,
车内摄像头数量,-,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
语音识别控制系统,,,
语音助手唤醒词,,,
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,●,●,●
自动驻车,●,●,●
自动泊车入位,-,●,●
自动头灯,●,●,●
能量回收系统,●,●,●
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
级别,紧凑型车,紧凑型车,紧凑型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
空调温度控制方式,,,
离去角(°),25,25,25
百公里耗电量(kWh/100km),13.4,13.4,13.9
疲劳驾驶提示,-,●,●
电芯品牌,,,
电能当量燃料消耗量(L/100km),1.5,1.5,1.6
电池预加热,●,●,●
电池能量密度(Wh/kg),130.33,130.33,145.1
电池能量(kWh),49.92,49.92,60.5
电池类型,,,
电池慢充时间(小时)_y,8,8,10
电池慢充时间(小时)_x,8,8,10
电池快充电量范围(%)_y,80,80,80
电池快充电量范围(%)_x,80,80,80
电池快充时间(小时)_y,0.5,0.5,0.5
电池快充时间(小时)_x,0.5,0.5,0.5
电池冷却方式,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置
电动机总马力(Ps),171,171,171
电动机总扭矩(N·m),250,250,250
电动机总功率(kW),126,126,126
电动机(Ps),171,171,171
电动座椅记忆功能,,,
电动后备厢位置记忆,●,●,●
电动后备厢,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●
热泵空调,-,●,●
满载最小离地间隙(mm),135,135,135
温度分区控制,-,-,-
液晶仪表尺寸,,,
毫米波雷达数量,,,
最高车速(km/h),155,155,155
最大满载质量(kg),2155,2155,2225
最大扭矩(N·m),250,250,250
最大功率(kW),126,126,126
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,●,●
方向盘位置调节,,,
整车质保,,,
整备质量(kg),1740,1765,1835
摄像头数量,,,
接近角(°),19,19,19
换挡形式,,,
挡位个数,1,1,1
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,,,
手机互联/映射,,,
手机APP远程功能,,,
感应雨刷功能,,,
快充功能,支持,支持,支持
循迹倒车,-,●,●
座椅材质,,,
座位数(个),,,
并线辅助,●,●,●
巡航系统,,,
导航路况信息显示,●,●,●
对外放电,●,●,●
宽度(mm),1867,1867,1867
官方0-100km/h加速(s),-,-,-
安全带未系提醒,,,
天窗类型,,,
大灯高度可调,●,●,●
大灯延时关闭,●,●,●
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,,,
地图品牌,,,
哨兵模式/千里眼,-,●,●
后雨刷,-,-,-
后轮距(mm),1587,1587,1587
后轮胎规格,,,
后方碰撞预警,●,●,●
后排独立空调,-,-,-
后排杯架,-,-,-
后排座椅放倒形式,,,
后悬架类型,,,
后座出风口,●,●,●
后备厢容积(L),-,-,-
后制动器类型,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),14.98万,15.98万,17.98万
厂商,长城汽车,长城汽车,长城汽车
卫星导航系统,●,●,●
助力类型,,,
副驾驶位后排可调节按钮,-,-,-
副座椅调节方式,,,
前轮距(mm),1583,1583,1583
前轮胎规格,,,
前电动机最大扭矩(N·m),250,250,250
前电动机最大功率(kW),126,126,126
前电动机型号,TZ153XS001,TZ153XS001,TZ153XS001
前电动机品牌,联合电子,联合电子,联合电子
