Feature,1013498,1013499,1013500,1013501,1013502,1013503,1013504
高度(mm),2005,2435,2460,2005,2435,2460,2005
驾驶辅助影像,-,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-
长度(mm),4720,4720,4720,4720,4720,4720,4720
长*宽*高(mm),4720×1677×2005,4720×1677×2435,4720×1677×2460,4720×1677×2005,4720×1677×2435,4720×1677×2460,4720×1677×2005
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,
轴距(mm),3050,3050,3050,3050,3050,3050,3050
轮圈材质,,,,,,,
车门数(个),2,2,2,2,2,2,2
车身结构_y,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
车型名称,启腾N50 2022款 1.5L舒适版单排栏板DAM15KR,启腾N50 2022款 1.5L舒适版单排仓栅DAM15KR,启腾N50 2022款 1.5L舒适版单排复合厢货DAM15KR,启腾N50 2022款 1.5L标准版单排栏板DAM15KR,启腾N50 2022款 1.5L标准版单排仓栅DAM15KR,启腾N50 2022款 1.5L标准版单排复合厢货DAM15KR,启腾N50 2022款 1.5L基本版单排栏板DAM15KR
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2800x1550x370,2800x1550x370,2700x1610x1595,2800x1550x370,2800x1550x370,2700x1610x1595,2800x1550x370
行车电脑显示屏幕,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
