Feature,1018158,1018159,1018160,1018161,1018162,1018163,1018164,1018165,1018166,1018187,1018188,1018189,1018190,1018191,1018192,1018193,1018194,1018195,1018196,1018197,1018198,1018199,1018200,1018201
高度(mm),1910,1910,1910,1983,1983,1983,2380,2380,2380,2380,2380,2380,2395,2395,2395,1926,1926,1926,2370,2370,2370,2400,2400,2400
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5121,5121,5121,5202,5202,5202,5202,5202,5202,5202,5202,5202,5206,5206,5206,5249,5249,5249,5249,5249,5249,5295,5295,5295
长*宽*高(mm),5121*1600*1910,5121*1600*1910,5121*1600*1910,5202*1700*1983,5202*1700*1983,5202*1700*1983,5202*1700*2380,5202*1700*2380,5202*1700*2380,5202*1700*2380,5202*1700*2380,5202*1700*2380,5206*1700*2395,5206*1700*2395,5206*1700*2395,5249*1607*1926,5249*1607*1926,5249*1607*1926,5249*1607*2370,5249*1607*2370,5249*1607*2370,5295*1607*2400,5295*1607*2400,5295*1607*2400
钥匙类型,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,
配气机构,-,-,-,-,-,-,-,-,-,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,优劲T5 2024款 1.5L 单排 二类标准型 DAM15KR,优劲T5 2024款 1.5L 单排 二类舒适型 DAM15KR,优劲T5 2024款 1.5L 单排 二类豪华型 DAM15KR,优劲T5 2024款 1.5L 单排 栏板标准型 DAM15KR,优劲T5 2024款 1.5L 单排 栏板舒适型 DAM15KR,优劲T5 2024款 1.5L 单排 栏板豪华型 DAM15KR,优劲T5 2024款 1.5L 单排 仓栅标准型 DAM15KR,优劲T5 2024款 1.5L 单排 仓栅舒适型 DAM15KR,优劲T5 2024款 1.5L 单排 仓栅豪华型 DAM15KR,优劲T5 2024款 1.5L 单排 仓栅标准型 DAM15KR 额定载质量1325kg,优劲T5 2024款 1.5L 单排 仓栅舒适型 DAM15KR 额定载质量1325kg,优劲T5 2024款 1.5L 单排 仓栅豪华型 DAM15KR 额定载质量1325kg,优劲T5 2024款 1.5L 单排 厢货标准型 DAM15KR,优劲T5 2024款 1.5L 单排 厢货舒适型 DAM15KR,优劲T5 2024款 1.5L 单排 厢货豪华型 DAM15KR,优劲T5 2024款 1.5L 双排 栏板标准型 DAM15KR,优劲T5 2024款 1.5L 双排 栏板舒适型 DAM15KR,优劲T5 2024款 1.5L 双排 栏板豪华型 DAM15KR,优劲T5 2024款 1.5L 双排 仓栅标准型 DAM15KR,优劲T5 2024款 1.5L 双排 仓栅舒适型 DAM15KR,优劲T5 2024款 1.5L 双排 仓栅豪华型 DAM15KR,优劲T5 2024款 1.5L 双排 厢货标准型 DAM15KR,优劲T5 2024款 1.5L 双排 厢货舒适型 DAM15KR,优劲T5 2024款 1.5L 双排 厢货豪华型 DAM15KR
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
