Feature,56673,60475,60696,60697
高度(mm),1631,1631,1631,1631
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,,,,
风阻系数(Cd),-,-,-,-
陡坡缓降,-,-,-,-
长度(mm),2974,2599,2599,2974
长*宽*高(mm),2974*1505*1631,2599*1505*1631,2599*1505*1631,2974*1505*1631
钥匙类型,,,,
远程启动功能,,,-,-
远光灯光源,,,,
近光灯光源,,,,
轴距(mm),2010,1635,1635,2010
轮圈材质,,,,
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-
车道保持辅助系统,-,-,-,-
车载空气净化器,-,-,-,-
车载智能系统,,,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车
车身结构_x,3门4座两厢车,3门2座两厢车,3门2座两厢车,3门4座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,-,●
车联网,●,●,-,-
车窗防夹手功能,●,●,-,-
车窗一键升降功能,,,-,-
车型名称,五菱Air ev晴空 2023款 四座-进阶版,五菱Air ev晴空 2023款 两座-进阶版,五菱Air ev晴空 2023款 两座-标准版,五菱Air ev晴空 2023款 四座-标准版
车前雾灯,-,-,-,-
车内环境氛围灯,-,-,-,-
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,-,-,-,-
车体结构,承载式,承载式,承载式,承载式
语音识别控制系统,,,-,-
语音助手唤醒词,,,-,-
语音分区域唤醒识别,,,-,-
行车电脑显示屏幕,,,,
蓝牙/车载电话,●,●,●,●
自适应远近光,-,-,-,-
自动驻车,●,●,-,●
自动头灯,-,-,-,-
能量回收系统,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,
级别,微型车,微型车,微型车,微型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-
空载最小离地间隙(mm),126,126,126,126
空调温度控制方式,,,,
