Feature,1009478,1011945,1011946,1011947,1011948,1016920,1016921,1016932,1016970
高度(mm),2268,2268,2495,2415,2345,2590,2590,2405,2450
驾驶辅助影像,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,单电机,-,-,-
驱动方式,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-
长度(mm),4550,4550,4615,4580,4585,4815,4815,4815,4790
长*宽*高(mm),4550×1605×2268,4550×1605×2268,4615×1620×2495,4580×1595×2415,4585×1633×2345,4815*1685*2590,4815*1685*2590,4815*1600*2405,4790*1740*2450
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,-,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,-,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,
轴距(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050
轮圈材质,,,,,,,,,
车门数(个),,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-
