Feature,1006794,1006795,1006796,1006797,1006798,1006799,1006800,1006801,1008427,1008428,1008468,1008469,1008470,1008471,1008472,1008473,1008474,1008475,1008476,1008477
高度(mm),1835,1835,1835,1835,1760,1760,1760,1760,1760,1760,1835,1835,1760,1760,1767,1767,1835,1835,1835,1835
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5410,5765,5410,5765,5410,5765,5410,5765,5410,5765,5765,5765,5765,5765,5315,5670,5415,5770,5415,5770
长*宽*高(mm),5410×1905×1835,5765×1905×1835,5410×1905×1835,5765×1905×1835,5410×1828×1760,5765×1828×1760,5410×1828×1760,5765×1828×1760,5410×1828×1760,5765×1828×1760,5765×1905×1835,5765×1905×1835,5765×1828×1760,5765×1828×1760,5315×1828×1767,5670×1828×1767,5415×1905×1835,5770×1905×1835,5415×1905×1835,5770×1905×1835
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3085,3350,3085,3350,3085,3350,3085,3350,3085,3350,3350,3350,3350,3350,3085,3350,3085,3350,3085,3350
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,域虎5 2018款 2.4T经典版柴油手动四驱超豪华型JX4D24A5L,域虎5 2018款 2.4T经典版柴油手动四驱超豪华型长轴JX4D24A5L,域虎5 2018款 2.4T经典版柴油手动四驱豪华型JX4D24A5L,域虎5 2018款 2.4T经典版柴油手动四驱豪华型长轴JX4D24A5L,域虎5 2018款 2.4T经典版柴油手动两驱超豪华型JX4D24A5L,域虎5 2018款 2.4T经典版柴油手动两驱超豪华型长轴JX4D24A5L,域虎5 2018款 2.4T经典版柴油手动两驱豪华型JX4D24A5L,域虎5 2018款 2.4T经典版柴油手动两驱豪华型长轴JX4D24A5L,域虎5 2019款 2.0T经典版柴油自动两驱LX JX4D24A5L,域虎5 2019款 2.0T经典版柴油自动两驱LX长轴 JX4D24A5L,域虎5 2018款 2.4T经典版柴油手动四驱超豪华神盾版长轴,域虎5 2018款 2.4T经典版柴油手动四驱豪华神盾版长轴,域虎5 2018款 2.4T经典版柴油手动两驱超豪华神盾版长轴,域虎5 2018款 2.4T经典版柴油手动两驱豪华神盾版长轴,域虎5 2019款 2.0T柴油手动两驱经典 国VI,域虎5 2019款 2.0T柴油手动两驱经典 国VI长轴,域虎5 2019款 2.0T柴油手动四驱进取 国VI,域虎5 2019款 2.0T柴油手动四驱进取 国VI长轴,域虎5 2019款 2.0T柴油手动两驱进取 国VI,域虎5 2019款 2.0T柴油手动两驱进取 国VI长轴
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1475x1475x500,1820x1475x500,1475x1475x500,1820x1475x500,1475x1475x500,1820x1475x500,1475x1475x500,1820x1475x500,1475x1475x500,1820x1475x500,1820x1475x500,1820x1475x500,1820x1475x500,1820x1475x500,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,○,○,●,●,○,○,●,●,●,○,●,○,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡自动,6挡自动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号,0号
燃料形式,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),230,230,230,230,190,190,190,190,190,190,230,230,190,190,-,-,-,-,-,-
最大马力(Ps),140,140,140,140,140,140,140,140,142,142,140,140,140,140,142,142,142,142,142,142
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,1600-2400,-,-,1600-2400,1600-2400,1600-2400,1600-2400,-,-,-,-,-,-
最大扭矩(N·m)_y,310,310,310,310,310,310,310,310,350,350,310,310,310,310,350,350,350,350,350,350
最大扭矩(N·m)_x,310,310,310,310,310,310,310,310,350,350,310,310,310,310,350,350,350,350,350,350
最大功率转速(rpm),3600,3600,3600,3600,3600,3600,3600,3600,-,-,3600,3600,3600,3600,-,-,-,-,-,-
最大功率(kW)_y,103,103,103,103,103,103,103,103,104,104,103,103,103,103,104,104,104,104,104,104
最大功率(kW)_x,103,103,103,103,103,103,103,103,104,104,103,103,103,103,104,104,104,104,104,104
无钥匙启动系统,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-,1902,1935,-,-,-,-,-,-,-,-,-,-
排量(mL),2402,2402,2402,2402,2402,2402,2402,2402,1998,1998,2402,2402,2402,2402,-,-,-,-,-,-
挡位个数,5,5,5,5,5,5,5,5,6,6,5,5,5,5,6,6,6,6,6,6
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1905,1905,1905,1905,1828,1828,1828,1828,1828,1828,1905,1905,1828,1828,1828,1828,1905,1905,1905,1905
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,265/70 R16,265/70 R16,265/70 R16,265/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16,235/70 R16,235/70 R16,235/70 R16,235/70 R16,265/70 R16,265/70 R16,265/70 R16,265/70 R16
