Feature,1014849,1014850,1014851,1014852,1014922,1015951,1015952,1015953,1015954,1016181,1016182,1016183,1016184,1017637,1017638,1017639,1017640,1018310,1018508,1018509
高度(mm),1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860
驾驶辅助影像,-,,-,,-,,,,,,,,,,,,,-,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5270,5270,5520,5520,5270,5270,5520,5270,5520,5270,5270,5520,5520,5270,5520,5270,5520,5520,5270,5520
长*宽*高(mm),5270*1900*1860,5270*1900*1860,5520*1900*1860,5520*1900*1860,5270*1900*1860,5270*1900*1860,5520*1900*1860,5270*1900*1860,5520*1900*1860,5270*1900*1860,5270*1900*1860,5520*1900*1860,5520*1900*1860,5270*1900*1860,5520*1900*1860,5270*1900*1860,5520*1900*1860,5520*1900*1860,5270*1900*1860,5520*1900*1860
钥匙类型,,,,,,,,,,,,,,,,,,,,
配气机构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,
轴距(mm),3160,3160,3410,3410,3160,3160,3410,3160,3410,3160,3160,3410,3410,3160,3410,3160,3410,3410,3160,3410
轮圈材质,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,●,-,●,-,●,●,●,●,-,●,-,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-
