Feature,69456,69457,69458,69459,69460,71886,71887,71888,71889,71890
高精地图,●,●,●,●,●,●,●,●,●,●
高度(mm),1669,1669,1669,1669,1669,1669,1669,1669,1669,1669
高压快充,不支持,支持,支持,支持,支持,不支持,支持,支持,支持,支持
高压平台（V）,400,800,800,准900,准900,400,800,准900,800,准900
驾驶辅助影像,,,,,,,,,,
驾驶模式切换,,,,,,,,,,
驻车制动类型,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,双电机,单电机,单电机,单电机,单电机,双电机
驱动方式,,,,,,,,,,
风阻系数(Cd),0.237,0.237,0.237,0.237,0.237,0.237,0.237,0.237,0.237,0.237
零重力座椅,,,,,,,,,,
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●
防侧翻系统,●,●,●,●,●,●,●,●,●,●
长度(mm),4910,4910,4910,4910,4910,4910,4910,4910,4910,4910
长*宽*高(mm),4910*1988*1669,4910*1988*1669,4910*1988*1669,4910*1988*1669,4910*1988*1669,4910*1988*1669,4910*1988*1669,4910*1988*1669,4910*1988*1669,4910*1988*1669
钥匙类型,,,,,,,,,,
遥控泊车,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,
远光灯光源,,,,,,,,,,
近光灯光源,,,,,,,,,,
辅助驾驶芯片,,,,,,,,,,
辅助驾驶系统,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,
轴距(mm),2960,2960,2960,2960,2960,2960,2960,2960,2960,2960
轮圈材质,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,
车机系统存储(GB),,,,,,,,,,
车机系统内存(GB),,,,,,,,,,
车机智能芯片,,,,,,,,,,
车型名称,智己LS6 2025款 灵蜥智驾版,智己LS6 2025款 长续航灵蜥智享版,智己LS6 2025款 长续航灵蜥智驾版,智己LS6 2025款 超长续航灵蜥智驾版,智己LS6 2025款 超强性能灵蜥智享版,智己LS6 2025款 灵蜥智驾剧院版,智己LS6 2025款 长续航灵蜥智驾剧院版,智己LS6 2025款 超长续航灵蜥智驾剧院版,智己LS6 2025款 长续航灵蜥智享剧院版,智己LS6 2025款 超强性能灵蜥智享剧院版
车前雾灯,-,-,-,-,-,-,-,-,-,-
