Feature,1004832,1004833,1004834,1004835,1004837,1004838,1004839,1004840,1005901,1005951,1005952,1005953,1005955,1005957,1005958,1006078,1006081,1006082,1006083,1006084,1006087,1006088,1006090,1006091,1006092,1006093,1006094,1007641,1007642
高度(mm),2770,2875,2740,2850,2325,2325,2325,2325,2530,2540,2790,2540,2540,2550,2550,2500,2540,2530,2520,2790,2800,2540,2850,2325,2325,2325,2325,2325,2325
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5990,7193,6940,6940,6485,6900,5340,5990,4905,5580,5580,5580,5580,4905,4905,4905,5580,4905,5990,5580,5990,5990,6940,6485,6900,5340,5990,6485,6485
长*宽*高(mm),5990×2000×2770,7193×2000×2875,6940×2000×2740,6940×2000×2850,6485×2020×2325,6900×2020×2325,5340×2020×2325,5990×2020×2325,4905×2000×2530,5580×2000×2540,5580×2000×2790,5580×2000×2540,5580×2000×2540,4905×2000×2550,4905×2000×2550,4905×2000×2500,5580×2000×2540,4905×2000×2530,5990×2000×2520,5580×2000×2790,5990×2000×2800,5990×2000×2540,6940×2000×2850,6485×2020×2325,6900×2020×2325,5340×2020×2325,5990×2020×2325,6485×2020×2325,6485×2020×2325
铝合金轮圈,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,SOHC,DOHC,SOHC,SOHC,SOHC,DOHC,DOHC,DOHC,DOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,SOHC,DOHC
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3310,4180,3950,3950,3600,3950,2800,3310,2800,3310,3310,3310,3310,2800,2800,2800,3310,2800,3310,3310,3310,3310,3950,3600,3950,2800,3310,3600,3600
