Feature,66429,66761,66762,66763,66764,66765,66766,68497,68498
高精地图,●,-,-,-,-,-,-,-,-
高度(mm),1450,1450,1450,1450,1450,1450,1450,1450,1450
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动电机数,双电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,
风阻系数(Cd),0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216
面部识别,●,-,●,●,●,●,-,-,-
隐藏电动门把手,●,-,●,●,●,●,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●
长度(mm),4980,4980,4980,4980,4980,4980,4980,4980,4980
长*宽*高(mm),4980*1980*1450,4980*1980*1450,4980*1980*1450,4980*1980*1450,4980*1980*1450,4980*1980*1450,4980*1980*1450,4980*1980*1450,4980*1980*1450
钥匙类型,,,,,,,,,
配气机构,-,DOHC,DOHC,DOHC,-,-,-,DOHC,-
遥控泊车,●,-,●,●,●,●,-,-,-
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,-,●,●,●,●,-,-,-
透明底盘/540度影像,●,-,●,●,●,●,-,-,-
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
进气形式,-,自然吸气,自然吸气,自然吸气,-,-,-,自然吸气,-
近光灯光源,,,,,,,,,
辅助驾驶芯片,,-,,,,,-,-,-
辅助驾驶系统,,-,,,,,-,-,-
辅助驾驶等级,,-,,,,,-,-,-
轴距(mm),2980,2980,2980,2980,2980,2980,2980,2980,2980
轮圈材质,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,●,●,●,●,-,-,-
车道偏离预警系统,●,-,●,●,●,●,-,-,-
车道保持辅助系统,●,-,●,●,●,●,-,-,-
车载空气净化器,●,-,●,●,●,●,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车机智能芯片,,,,,,,,,
车型名称,哪吒S 2024款 改款 纯电 650 AWD新享版,哪吒S 2024款 改款二 增程 1060 Lite版,哪吒S 2024款 改款 增程 1060 AR-HUD版,哪吒S 2024款 改款 增程 1160 AR-HUD版,哪吒S 2024款 改款 纯电 715新享版,哪吒S 2024款 纯电 520km 后驱AR-HUD版,哪吒S 2024款 纯电 520km 后驱Lite版,哪吒S 2024款 增程 1060 尊享版,哪吒S 2024款 纯电 520km 后驱尊享版
车前雾灯,-,-,-,-,-,-,-,-,-
车内生物监测系统,●,-,-,-,-,-,-,-,-
车内环境氛围灯,,-,,,,-,-,-,-
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,
负离子发生器,●,-,●,●,●,●,-,-,-
语音识别控制系统,,,,,,,,,
语音助手唤醒词,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,●,●,●,●,-,-,-
自动驻车,●,●,●,●,●,●,●,●,-
自动泊车入位,●,-,●,●,●,●,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●
自动变道辅助,●,-,●,●,●,●,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●
能源类型_y,纯电动,增程式,增程式,增程式,纯电动,纯电动,纯电动,增程式,纯电动
能源类型_x,纯电动,增程式,增程式,增程式,纯电动,纯电动,纯电动,增程式,纯电动
胎压监测功能,,,,,,,,,
缸盖材料,-,未知,未知,未知,-,-,-,未知,-
缸体材料,-,未知,未知,未知,-,-,-,未知,-
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,
空气质量监测,●,-,●,●,●,●,-,-,-
离去角(°),19,19,19,19,19,19,19,19,19
百公里耗电量(kWh/100km),16,-,-,-,13.5,-,-,-,-
疲劳驾驶提示,●,-,●,●,●,●,-,-,-
电芯品牌,,-,-,,,,,,
电能当量燃料消耗量(L/100km),1.81,-,-,-,1.53,-,-,-,-
电池预加热,●,●,●,●,●,●,●,●,●
电池能量(kWh),91,31.7,31.7,43.9,84.5,64.46,64.46,31.7,64.46
电池类型,,,,,,,,,
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
电池快充时间(小时)_x,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),462,231,231,231,231,231,231,231,231
电动机总扭矩(N·m),620,310,310,310,310,310,310,310,310
电动机总功率(kW),340,170,170,170,170,170,170,170,170
电动机(Ps),462,231,231,231,231,231,231,231,231
电动座椅记忆功能,,,,,,,,,
电动后备厢,●,●,●,●,●,●,●,●,●
环保标准_y,-,国VI,国VI,国VI,-,-,-,国VI,-
环保标准_x,-,国VI,国VI,国VI,-,-,-,国VI,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
燃油标号,-,92号,92号,92号,-,-,-,92号,-
温度分区控制,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,
油箱容积(L),-,45,45,45,-,-,-,45,-
气缸数(个),-,4,4,4,-,-,-,4,-
气缸排列形式,-,L,L,L,-,-,-,L,-
毫米波雷达数量,,-,,,,,-,-,-
每缸气门数(个),-,4,4,4,-,-,-,4,-
最高车速(km/h),185,185,185,185,185,185,185,185,185
最大马力(Ps),462,116,116,116,231,231,231,95,231
最大满载质量(kg),2505,-,-,2375,2375,2315,2315,2315,2315
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,620,-,-,-,310,310,310,-,310
最大扭矩(N·m)_x,620,310,310,310,310,310,310,310,310
最大功率转速(rpm),-,-,-,-,-,-,-,-,-
最大功率(kW)_y,340,85,85,85,170,170,170,70,170
最大功率(kW)_x,340,170,170,170,170,170,170,170,170
最大净功率(kW),-,-,-,-,-,-,-,-,-
无钥匙进入功能,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●
无框设计车门,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,
整车质保,,,,,,,,,
整备质量(kg),2130,1940,1940,1980,1990,1940,1940,1940,1940
摄像头数量,,,,,,,,,
接近角(°),13,13,13,13,13,13,13,13,13
排量(mL),-,1498,1498,1498,-,-,-,1498,-
换电,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持
换挡形式,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-
手机无线充电功能,,,,,,,,,
手机互联/映射,-,-,-,-,-,-,-,-,-
手机APP远程功能,,,,,,,,,
手势控制,●,-,●,●,●,-,-,-,-
慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
感应雨刷功能,,,,,,,,,
快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持
循迹倒车,●,-,●,●,●,●,-,-,-
座椅材质,,,,,,,,,
座位数(个),,,,,,,,,
应用商店,●,●,●,●,●,●,●,●,●
并线辅助,●,-,●,●,●,●,-,-,-
巡航系统,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●
对外放电,●,●,●,●,●,●,●,●,●
宽度(mm),1980,1980,1980,1980,1980,1980,1980,1980,1980
官方0-100km/h加速(s),3.9,8.6,8.6,6.9,6.9,7.4,7.4,8.6,7.4
安全带未系提醒,,,,,,,,,
天窗类型,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●
多层隔音玻璃,,-,,,,,-,-,-
多媒体/充电接口,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●
外观套件,,-,-,-,-,-,-,-,-
外后视镜功能,,,,,,,,,
备胎规格,,,,,,,,,
地图品牌,,,,,,,,,
四驱形式,,-,-,-,-,-,-,-,-
哨兵模式/千里眼,●,-,-,-,-,●,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-
后轮距(mm),1695,1695,1695,1695,1695,1695,1695,1695,1695
后轮胎规格,,,,,,,,,
后电动机最大扭矩(N·m),310,310,310,310,310,310,310,310,310
后电动机最大功率(kW),170,170,170,170,170,170,170,170,170
