Feature,45619,52453,66753,66773,66774,66902,66903,66905,66906,66907,66908,66909,67270,69142,69143,69144,69802,69813,69814,69815,69816,69817
高度(mm),1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495
高压快充,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,支持,支持,支持,-,-,-
高压平台（V）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,800,800,800,-,-,-
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,双电机,单电机,单电机,单电机,双电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,0.233,0.233,0.233,0.233,-,-,-,-,-,0.233,-,-,0.233,0.233,0.233,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4980,4980,4975,4975,4995,4995,4995,4995,4975,4975,4975,4975,4975,4995,4995,4995,4995,4995,4995,4995,4995,4995
长*宽*高(mm),4980*1910*1495,4980*1910*1495,4975*1910*1495,4975*1910*1495,4995*1910*1495,4995*1910*1495,4995*1910*1495,4995*1910*1495,4975*1910*1495,4975*1910*1495,4975*1910*1495,4975*1910*1495,4975*1910*1495,4995*1910*1495,4995*1910*1495,4995*1910*1495,4995*1910*1495,4995*1910*1495,4995*1910*1495,4995*1910*1495,4995*1910*1495,4995*1910*1495
钥匙类型,,,,,,,,,,,,,,,,,,,,,,
配气机构,-,-,DOHC,DOHC,-,-,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,-,DOHC,DOHC,-,-,-,DOHC,DOHC,DOHC
遥控泊车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,
进气形式,-,-,涡轮增压,涡轮增压,-,-,-,-,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,涡轮增压,涡轮增压,-,-,-,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-
辅助驾驶系统,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920
轮圈材质,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,-,●,●,●,●,●,-,●,●,●,-,●,-,●,●,●,●,-,●,●
车载智能系统,-,-,,,,,,,,,,,,,,,,,,,,
车载KTV,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,
车机系统存储(GB),,,,,,,,,,,,,,,,,,,,,,
车机系统内存(GB),,,,,,,,,,,,,,,,,,,,,,
车机智能芯片,-,-,,,,,,,,,,,,,,,,,,,,
车型名称,汉 2020款 EV 超长续航版豪华型,汉 2021款 EV 标准续航版豪华型,汉 2024款 DM-i 荣耀版 121KM 尊贵型,汉 2024款 DM-i 荣耀版 121KM 尊享型,汉 2024款 EV 荣耀版 715KM前驱旗舰型,汉 2024款 EV 荣耀版 506KM前驱尊贵型,汉 2024款 EV 荣耀版 605KM前驱尊贵型,汉 2024款 EV 荣耀版 610KM四驱天神之眼智驾型,汉 2024款 DM-i 荣耀版 121KM 精英型,汉 2024款 DM-i 荣耀版 121KM 尊荣型,汉 2024款 DM-i 荣耀版 200KM 旗舰型,汉 2024款 DM-p 战神版,汉 2024款 DM-i 121KM领航荣耀版 ,汉 2025款 EV 506KM尊贵型,汉 2025款 DM-i 125KM精英型,汉 2025款 DM-i 125KM激光雷达智驾型,汉 2025款 EV 701KM激光雷达智驾型,汉 2025款 EV 605KM尊贵型,汉 2025款 EV 701KM尊享型,汉 2025款 DM-i 125KM舒适型,汉 2025款 DM-i 125KM尊贵型,汉 2025款 DM-i 125KM尊荣型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,●,●,-,●,●,-,-,●,●,-,-,-,●,●,●,●,-,-,-
车内环境氛围灯,-,-,,,,,,,-,,,,-,,,,,,,-,,
车内摄像头数量,-,-,-,-,-,-,-,,-,-,-,,-,-,-,,,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
