Feature,1019418,1020009,1020501,1020502,1020503,1020504,1020549,1020550,1020551,1020552,1020553,1020554,1020555,1020556,1020557,1020558,1020559,1020560,1020561,1020568,1020569,1020570,1020571,1020834,1020835
高度(mm),1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,,,,,,-,,-,-,-,,,,,,,-,,,,,,-,
防侧翻系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),5520,5520,5520,5520,5520,5520,5520,5520,5520,5520,5520,5520,5520,5520,5725,5725,5725,5725,5725,5520,5520,5520,5520,5520,5520
长*宽*高(mm),5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5725*1960*1950,5725*1960*1950,5725*1960*1950,5725*1960*1950,5725*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950,5520*1960*1950
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-
透明底盘/540度影像,●,●,●,●,●,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,○,●,●,●
远程启动功能,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-
轴距(mm),3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3505,3505,3505,3505,3505,3300,3300,3300,3300,3300,3300
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,○,○,○,○,○,○,○,○,○,○,○,○,○,●,●,●,●,○,●
车顶行李架,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-
车道保持辅助系统,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,郑州日产Z9 2025款 GT 2.3T 自动柴油四驱智享版,郑州日产Z9 2025款 GT 2.0T 自动汽油四驱智享版,郑州日产Z9 2025款 GT 2.3T 自动柴油四驱悦享版,郑州日产Z9 2025款 GT 2.0T 自动汽油四驱悦享版,郑州日产Z9 2025款 GT 2.0T 自动汽油四驱舒享版,郑州日产Z9 2025款 GT 2.3T 自动柴油四驱舒享版,郑州日产Z9 2025款 2.0T 自动汽油两驱劲享版,郑州日产Z9 2025款 2.0T 自动汽油四驱劲享版,郑州日产Z9 2025款 2.3T 手动柴油两驱乐享版,郑州日产Z9 2025款 2.3T 手动柴油两驱劲享版,郑州日产Z9 2025款 2.3T 自动柴油两驱劲享版,郑州日产Z9 2025款 2.3T 手动柴油四驱乐享版,郑州日产Z9 2025款 2.3T 手动柴油四驱劲享版,郑州日产Z9 2025款 2.3T 自动柴油四驱劲享版,郑州日产Z9 2025款 2.0T 自动汽油四驱劲享版长货箱,郑州日产Z9 2025款 2.3T 手动柴油四驱乐享版长货箱,郑州日产Z9 2025款 2.3T 手动柴油四驱劲享版长货箱,郑州日产Z9 2025款 2.3T 自动柴油两驱劲享版长货箱,郑州日产Z9 2025款 2.3T 自动柴油四驱劲享版长货箱,郑州日产Z9 2025款 GT 2.0T自动汽油四驱首发悦享版,郑州日产Z9 2025款 GT 2.0T自动汽油四驱首发智享版,郑州日产Z9 2025款 GT 2.3T自动柴油四驱首发悦享版,郑州日产Z9 2025款 GT 2.3T自动柴油四驱首发智享版,郑州日产Z9 2025款 2.0T 自动汽油两驱豪享版,郑州日产Z9 2025款 2.0T 自动汽油四驱畅享版
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,-,●,●,●,●,●,●,●,●,●
