Feature,56737,56738,56739,56740,56741,56742,57466,63822,63823
高度(mm),1455,1455,1455,1455,1455,1455,1455,1455,1455
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,-,-,-
隐藏电动门把手,-,-,-,-,-,○,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-
长度(mm),4810,4810,4810,4810,4810,4810,4810,4810,4810
长*宽*高(mm),4810*1840*1455,4810*1840*1455,4810*1840*1455,4810*1840*1455,4810*1840*1455,4810*1840*1455,4810*1840*1455,4810*1840*1455,4810*1840*1455
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,-,-,●,●,●,●,-,-,-
远程启动功能,-,-,,,,,,-,-
远光灯光源,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,
辅助驾驶等级,-,-,,,,,-,-,-
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800
轮圈材质,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,●,●,●,●,-,-,-
车道偏离预警系统,-,-,●,●,●,●,-,-,-
车道保持辅助系统,-,-,●,●,●,●,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,4门5座掀背车,4门5座掀背车,4门5座掀背车,4门5座掀背车,4门5座掀背车,4门5座掀背车,4门5座掀背车,4门5座掀背车,4门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,-,-,●,●,●,●,●,-,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
