Feature,53008,54507,54508,58050,60457,60458,60459,60460,60461,60462,60463,60464,60465,60466,67210,67211
高度(mm),1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690
驾驶辅助影像,,,,,,,,,,,,,,,-,-
驾驶模式切换,,,,,,,,,,,,,,,-,-
驻车制动类型,,,,,,,,,,,,,,,-,-
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,-,-
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
长度(mm),4670,4670,4670,4670,4670,4670,4680,4670,4670,4680,4680,4670,4680,4680,4670,4670
长*宽*高(mm),4670*1865*1690,4670*1865*1690,4670*1865*1690,4670*1865*1690,4670*1865*1690,4670*1865*1690,4680*1865*1690,4670*1865*1690,4670*1865*1690,4680*1865*1690,4680*1865*1690,4670*1865*1690,4680*1865*1690,4680*1865*1690,4670*1865*1690,4670*1865*1690
钥匙类型,,,,,,,,,,,,,,,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,-,●,●,-,-,-,●,●,●,●,●,●,●,-,-
远程启动功能,,-,,,-,-,-,,,,,,,,-,-
远光灯光源,,,,,,,,,,,,,,,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压
近光灯光源,,,,,,,,,,,,,,,-,-
辅助驾驶系统,,-,,,-,-,-,,,,,,,,-,-
辅助驾驶等级,,-,,,-,-,-,,,,,,,,-,-
轴距(mm),2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755
轮圈材质,,,,,,,,,,,,,,,-,-
车顶行李架,●,○,●,●,-,●,●,●,●,●,●,●,●,●,-,-
车门数(个),,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,-,-,-,●,●,●,●,●,●,●,-,-
车道偏离预警系统,●,●,●,●,-,-,-,●,●,●,●,●,●,●,-,-
车道保持辅助系统,●,●,●,●,-,-,-,●,●,●,●,●,●,●,-,-
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车载智能系统,,-,,,-,-,-,,,,,,,,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车联网,●,-,●,●,-,-,-,●,●,●,●,●,●,●,-,-
车窗防夹手功能,●,-,●,●,-,●,●,●,●,●,●,●,●,●,-,-
车窗一键升降功能,,-,,,-,,,,,,,,,,-,-
车型名称,途胜 2022款 途胜L 2.0L 混动·旗舰版,途胜 2022款 途胜L 2.0L 混动·智享版,途胜 2022款 途胜L 2.0L 混动·尊贵版,途胜 2022款 途胜L 2.0L 混动·20周年纪念款,途胜 2023款 途胜L 1.5T 自动两驱GLS领先版,途胜 2023款 途胜L 1.5T 自动两驱GLX精英版,途胜 2023款 途胜L 1.5T 自动两驱GLX N Line精英版,途胜 2023款 途胜L 1.5T 自动两驱DLX豪华版,途胜 2023款 途胜L 1.5T 自动两驱LUX尊贵版,途胜 2023款 途胜L 1.5T 自动两驱LUX N Line尊贵版,途胜 2023款 途胜L 1.5T 自动两驱TOP N Line旗舰版,途胜 2023款 途胜L 1.5T DCT四驱LUX尊贵版,途胜 2023款 途胜L 1.5T DCT四驱LUX N Line尊贵版,途胜 2023款 途胜L 1.5T DCT四驱TOP N Line旗舰版,途胜 2024款 途胜L 2.0L 混动 基本型,途胜 2024款 途胜L 1.5T 基本型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,-,,,-,-,-,-,,,,,,,-,-
车内化妆镜,,,,,,,,,,,,,,,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,-,,,-,-,-,,,,,,,,-,-
语音分区域唤醒识别,-,-,-,-,-,-,-,,,,,,,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,-,-
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
自适应远近光,●,●,●,●,-,-,-,●,●,●,●,●,●,●,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
能量回收系统,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油
能源类型_x,油电混合,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油
胎压监测功能,,,,,,,,,,,,,,,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
系统综合扭矩(N·m),350,350,350,350,-,-,-,-,-,-,-,-,-,-,-,-
系统综合功率(kW),142,142,142,142,-,-,-,-,-,-,-,-,-,-,-,-
简称,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,7挡干式双离合,7挡干式双离合,7挡干式双离合,-,-
第二排座椅调节,,,,,,,,,,,,,,,-,-
空调温度控制方式,,,,,,,,,,,,,,,-,-
离去角(°),25,25,25,25,25,25,22,25,22,22,22,22,22,22,25,25
疲劳驾驶提示,●,●,●,●,-,-,-,●,●,●,●,●,●,●,-,-
