Feature,62588
魔毯智能悬架,●
高度(mm),1548
驾驶辅助影像,
驾驶模式切换,
驻车制动类型,
驱动电机数,双电机
驱动方式,
风阻系数(Cd),0.24
陡坡缓降,-
长度(mm),5391
长*宽*高(mm),5391*1950*1548
钥匙类型,
道路救援呼叫,●
道路交通标识识别,●
远程启动功能,
远光灯光源,
近光灯光源,
辅助驾驶等级,
辅助泊车入位,●
辅助变道,●
轴距(mm),3215
轮圈材质,
转向头灯,●
车门数(个),
车门开启方式,平开门
车道居中保持,●
车道偏离预警系统,●
车道保持辅助系统,●
车载空气净化器,-
车载电视,●
车载智能系统,
车身结构_y,三厢车
车身结构_x,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●
车联网,●
车窗防夹手功能,●
车窗一键升降功能,
车机智能芯片,
车型名称,宝马i7 2023款 M70L
车前雾灯,-
车内环境氛围灯,
车内化妆镜,
车内中控锁,●
车内PM2.5过滤装置,●
车体结构,承载式
语音识别控制系统,
记忆泊车,●
触摸式阅读灯,●
行车电脑显示屏幕,
蓝牙/车载电话,●
自适应远近光,●
自动驻车,●
自动开合车门,●
自动头灯,●
能量回收系统,●
能源类型,纯电动
胎压监测功能,
级别,大型车
简称,电动车单速变速箱
第二排座椅调节,
第二排座椅电动调节,●
第二排座椅功能,
空调温度控制方式,
空气悬架,●
百公里耗电量(kWh/100km),19.2
疲劳驾驶提示,●
电池预加热,●
电池能量(kWh),101.7
电池组质保,
电池类型,
电池慢充电量范围(%)_y,0-100
电池慢充电量范围(%)_x,0-100
电池慢充时间(小时)_y,5.5
电池慢充时间(小时)_x,5.5
电池快充电量范围(%)_y,10-80
电池快充电量范围(%)_x,10-80
电池快充时间(小时)_y,0.57
电池快充时间(小时)_x,0.57
电池冷却方式,液冷
电机类型,励磁/同步
电机布局,前置+后置
电动机总马力(Ps),741
电动机总扭矩(N·m),1100
电动机总功率(kW),545
电动机(Ps),741
电动座椅记忆功能,
电动吸合车门,
电动后备厢,●
牵引力控制(ASR/TCS/TRC等),●
温度分区控制,●
液晶仪表尺寸,
模拟声浪,●
最高车速(km/h),250
最大满载质量(kg),-
最大扭矩(N·m),1100
最大功率(kW),545
星空天窗,●
无钥匙进入功能,
无钥匙启动系统,●
方向盘记忆,●
方向盘离手检测,●
方向盘材质,
方向盘换挡,-
方向盘加热,●
方向盘位置调节,
整车质保,
整备质量(kg),-
整体主动转向系统,●
换挡形式,
挡位个数,1
扬声器数量,
扬声器品牌名称,
手机无线充电功能,
手机互联/映射,
手机APP远程功能,
手势控制,●
感应雨刷功能,
感应后备厢,●
快充功能,支持
循迹倒车,●
座椅材质,
座位数(个),
并线辅助,●
巡航系统,
导航路况信息显示,●
宽度(mm),1950
官方0-100km/h加速(s),3.7
安全带未系提醒,
天窗类型,
大灯高度可调,●
大灯延时关闭,●
多媒体/充电接口,
多功能方向盘,●
外观套件,
外后视镜功能,
备胎规格,
四驱形式,
后风挡遮阳帘,●
后雨刷,-
后轮距(mm),-
后轮胎规格,
后电动机最大功率(kW),355
后排独立空调,●
后排液晶屏幕尺寸,
后排液晶屏幕,
后排杯架,●
后排控制多媒体,●
后排座椅放倒形式,-
后排侧窗遮阳帘,
后悬架类型,
后座出风口,●
后备厢容积(L),500
后制动器类型,
可变悬架功能,
变速箱类型,固定齿比变速箱
厂商指导价(元),189.90万
厂商,宝马M
卫星导航系统,●
助力类型,
副驾驶位后排可调节按钮,●
副座椅调节方式,
前轮距(mm),-
前轮胎规格,
前电动机最大功率(kW),190
前方碰撞预警,●
前排座椅功能,
前悬架类型,
前制动器类型,
前/后驻车雷达,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●
制动力分配(EBD/CBC等),●
内置行车记录仪,○
内后视镜功能,
全液晶仪表盘,●
倒车车侧预警系统,●
信号灯识别,●
侧窗多层隔音玻璃,
低速行车警告,●
主座椅调节方式,
主动刹车/主动安全系统,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●
中控彩色屏幕,
中控屏幕尺寸,
上市时间,2023.08
上坡辅助,●
Wi-Fi热点,●
USB/Type-C接口数量,
OTA升级,●
LED日间行车灯,●
ISOFIX儿童座椅接口,●
HUD抬头数字显示,●
ETC装置,○
DOW开门预警,●
CLTC纯电续航里程(km)_y,610
CLTC纯电续航里程(km)_x,610
AR实景导航,●
ABS防抱死,●
4G/5G网络,
