Feature,1011634,1011635,1011636,1011637,1011638,1011639,1011640,1011641,1011642,1011643,1011644,1011645,1014255,1014261,1014262,1014263,1015675,1015677,1015741,1015742,1018319,1018320
高度(mm),1870,1875,1870,1875,1870,1875,1875,1870,1875,1870,1875,1870,1870,1870,1875,1875,1870,1875,1870,1875,1870,1875
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4535,4615,4535,4615,4535,4615,4615,4535,4615,4535,4615,4535,4785,4785,4785,4785,4785,4785,4535,4615,5055,5055
长*宽*高(mm),4535×1595×1870,4615×1595×1875,4535×1595×1870,4615×1595×1875,4535×1595×1870,4615×1595×1875,4615×1595×1875,4535×1595×1870,4615×1595×1875,4535×1595×1870,4615×1595×1875,4535×1595×1870,4785×1595×1870,4785×1595×1870,4785×1595×1875,4785×1595×1875,4785×1595×1870,4785×1595×1875,4535*1595*1870,4615*1595*1875,5055*1630*1870,5055*1630*1875
钥匙类型,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050
轮圈材质,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,五菱荣光小卡 2021款 1.5L基本型单排L3C,五菱荣光小卡 2021款 1.5L基本型双排L3C,五菱荣光小卡 2021款 1.5L标准型助力版单排L3C,五菱荣光小卡 2021款 1.5L标准型助力版双排L3C,五菱荣光小卡 2021款 1.5L标准型空调版单排L3C,五菱荣光小卡 2021款 1.5L标准型空调版双排L3C,五菱荣光小卡 2021款 1.2L标准型空调版双排LSI,五菱荣光小卡 2021款 1.2L标准型空调版单排LSI,五菱荣光小卡 2021款 1.2L标准型助力版双排LSI,五菱荣光小卡 2021款 1.2L标准型助力版单排LSI,五菱荣光小卡 2021款 1.2L基本型双排LSI,五菱荣光小卡 2021款 1.2L基本型单排LSI,五菱荣光小卡 2022款 1.5L标准型单排加长型L3C,五菱荣光小卡 2022款 1.5L基本型单排加长型L3C,五菱荣光小卡 2022款 1.5L基本型双排加长型L3C,五菱荣光小卡 2022款 1.5L标准型双排加长型L3C,五菱荣光小卡 2023款 1.5L单排加长型LAR,五菱荣光小卡 2023款 1.5L双排加长型LAR,五菱荣光小卡 2023款 1.5L单排LAR,五菱荣光小卡 2023款 1.5L双排LAR,五菱荣光小卡 2024款 1.5L单排超长型LAR,五菱荣光小卡 2024款 1.5L双排超长型LAR
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,●,●,●,●,●,●,●,●,-,-,●,-,-,●,-,-,-,-,○,○
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2710x1520x320,2080x1520x320,2710x1520x320,2080x1520x320,2710x1520x320,2080x1520x320,2080x1520x320,2710x1520x320,2080x1520x320,2710x1520x320,2080x1520x320,2710x1520x320,2920x1520x320,2920x1520x320,2250x1520x320,2250x1520x320,2920x1520x320,2250x1520x320,2710x1520x320,2080x1520x320,3210x1520x355,2500x1520x355
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,未知,未知,未知,未知,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,115,115,115,115,115,115,115,115,115,115
最大马力(Ps),99,99,99,99,99,99,76,76,76,76,76,76,99,99,99,99,102,102,102,102,102,102
最大载重质量(kg),735,459,735,459,735,459,485,495/714,485,495/714,485,495/714,735,735,459,459,735,459,745,459,695,459
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,1970,1970,1990,1990,1970,1990,1970,1990,1970,1990
最大扭矩转速(rpm),3800-5000,3800-5000,3800-5000,3800-5000,3800-5000,3800-5000,-,-,-,-,-,-,3800-5000,3800-5000,3800-5000,3800-5000,4000-4800,4000-4800,4000-4800,4000-4800,4000-4800,4000-4800
最大扭矩(N·m)_y,135,135,135,135,135,135,112,112,112,112,112,112,135,135,135,135,136,136,136,136,136,136
最大扭矩(N·m)_x,135,135,135,135,135,135,112,112,112,112,112,112,135,135,135,135,136,136,136,136,136,136
最大功率转速(rpm),5400,5400,5400,5400,5400,5400,-,-,-,-,-,-,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
最大功率(kW)_y,73,73,73,73,73,73,56,56,56,56,56,56,73,73,73,73,75,75,75,75,75,75
最大功率(kW)_x,73,73,73,73,73,73,56,56,56,56,56,56,73,73,73,73,75,75,75,75,75,75
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,72,72,72,72,72
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
