Feature,60343,60344,60345,60346,60347,60348,60624,61341,63196,63197,63198,63199,63724,63974,63983,63984,63985,63986,63987,63988,63989
高度(mm),1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1614,1614,1614,1614,1614,1614,1614,1614,1614
驾驶辅助影像,,,,,,,,,,,,,,,-,-,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,●,-,●,-,-,-,●,●,●,-,-,-,-,-,-,-
长度(mm),4495,4481,4495,4495,4495,4495,4495,4495,4481,4495,4495,4495,4498,4498,4498,4498,4498,4498,4498,4498,4498
长*宽*高(mm),4495*1848*1616,4481*1848*1616,4495*1848*1616,4495*1848*1616,4495*1848*1616,4495*1848*1616,4495*1848*1616,4495*1848*1616,4481*1848*1616,4495*1848*1616,4495*1848*1616,4495*1848*1616,4498*1848*1614,4498*1848*1614,4498*1848*1614,4498*1848*1614,4498*1848*1614,4498*1848*1614,4498*1848*1614,4498*1848*1614,4498*1848*1614
钥匙类型,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,○,○,○,○,○,○,○,○,-,○,○,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,●,-,●,●,●,●,●,●,-,●,●,●,●,●,-,●,●,●,●,●,●
运动外观套件,●,-,●,●,●,●,●,●,-,●,●,●,●,●,-,●,-,●,●,●,●
辅助驾驶等级,-,,,,,,,,,-,,,,,-,-,,,,,
轴距(mm),2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680
轮圈材质,,,,,,,,,,,,,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●,●,●,●
车道偏离预警系统,-,○,○,○,○,○,○,○,○,-,○,○,●,●,●,●,●,●,●,●,●
车道保持辅助系统,-,○,○,○,○,○,○,○,○,-,○,○,●,●,-,-,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,○,○,○,○,○,○,○,○,-,○,○,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,
车型名称,奥迪Q3 2023款 35 TFSI 进取动感型（1.4T）,奥迪Q3 2023款 35 TFSI 时尚致雅型（1.4T）,奥迪Q3 2023款 35 TFSI 时尚动感型（1.4T）,奥迪Q3 2023款 40 TFSI 时尚动感型,奥迪Q3 2023款 40 TFSI RS套件燃速型,奥迪Q3 2023款 45 TFSI quattro 时尚动感型,奥迪Q3 2023款 35 TFSI 时尚动感型（1.5T）,奥迪Q3 2023款 45 TFSI quattro 冰雪运动版,奥迪Q3 2023款 35 TFSI 时尚致雅型（1.5T）,奥迪Q3 2023款 35 TFSI 进取动感型（1.5T）,奥迪Q3 2023款 改款 40 TFSI 时尚动感型,奥迪Q3 2023款 改款 45 TFSI quattro 时尚动感型,奥迪Q3 2024款 45 TFSI quattro 时尚动感型,奥迪Q3 2024款 45 TFSI quattro 时尚动感型上市版,奥迪Q3 2024款 35 TFSI 进取致雅型,奥迪Q3 2024款 35 TFSI 进取动感型,奥迪Q3 2024款 35 TFSI 时尚致雅型,奥迪Q3 2024款 35 TFSI 时尚动感型,奥迪Q3 2024款 40 TFSI 时尚动感型,奥迪Q3 2024款 40 TFSI 时尚动感型上市版,奥迪Q3 2024款 40 TFSI RS套件燃速型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,,,,,,,,,-,,,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
