Feature,58383,62826,63060,63061,66959,67792,68972,69434,70452
高度(mm),1609,1609,1609,1609,1609,1609,1609,1609,1609
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,-,-,-,,
驻车制动类型,,,,,,,,,
驱动方式,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,-,●,●
长度(mm),4380,4380,4330,4330,4330,4330,4330,4380,4380
长*宽*高(mm),4380*1800*1609,4380*1800*1609,4330*1800*1609,4330*1800*1609,4330*1800*1609,4330*1800*1609,4330*1800*1609,4380*1800*1609,4380*1800*1609
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,-,-,-,-,-,-,-,●,-
透明底盘/540度影像,-,●,-,-,-,-,-,●,-
远程启动功能,,,-,,-,-,-,,
远光灯光源,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,
运动风格座椅,-,-,-,-,-,●,●,-,-
辅助驾驶等级,-,-,-,-,-,-,-,,-
轴距(mm),2600,2600,2600,2600,2600,2600,2600,2600,2600
轮圈材质,,,,,,,,,
车顶行李架,●,●,●,●,●,-,-,●,●
车门数(个),,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,●,-
车道保持辅助系统,-,-,-,-,-,-,-,●,-
车载空气净化器,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,-,-,-,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,-,●,●
车联网,●,●,●,●,-,-,-,●,●
车窗防夹手功能,●,●,●,●,●,●,-,●,●
车窗一键升降功能,,,,,,,-,,
车机智能芯片,,,-,-,-,-,-,,
车型名称,缤越 2022款 缤越COOL 1.5TD DCT热擎版,缤越 2023款 缤越COOL 1.5TD DCT冠军版,缤越 2023款 1.5T DCT铂金版,缤越 2023款 1.5T DCT钻石版,缤越 2024款 1.5T DCT龙腾版,缤越 2025款 1.5L CVT超能版,缤越 2025款 1.5L 手动超能版 ,缤越 2025款 缤越L 1.5TD DCT星耀,缤越 2025款 缤越L 1.5TD DCT星钻
车前雾灯,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,-,-,-,,
语音连续识别,-,-,-,-,-,-,-,●,●
语音识别控制系统,,,,,-,-,-,,
语音助手唤醒词,-,-,-,-,-,-,-,,
语音分区域唤醒识别,-,-,-,-,-,-,-,,
语音免唤醒词,-,-,-,-,-,-,-,●,●
行车电脑显示屏幕,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,●,-
自动驻车,●,●,●,●,●,●,-,●,●
自动头灯,●,●,●,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,CVT无级变速,5挡手动,7挡湿式双离合,7挡湿式双离合
第二排座椅调节,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,
离去角(°),27.5,27.5,21,21,21,21,21,28,28
疲劳驾驶提示,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,○,-
电动后备厢,-,-,-,-,-,-,-,○,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,-,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
灯光特色功能,,,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,-,,-,-,-,,
油箱容积(L),45,45,45,45,45,45,45,45,45
气缸数(个),4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4
最高车速(km/h),200,200,200,200,200,170,175,200,200
最大马力(Ps),181,181,181,181,181,126,126,181,181
最大满载质量(kg),1725,1725,1715,1715,1715,1664,1630,1725,1725
最大扭矩转速(rpm),2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,4000-5000,4000-5000,2000-3500,2000-3500
最大扭矩(N·m)_y,290,290,290,290,290,152,152,290,290
最大扭矩(N·m)_x,290,290,290,290,290,152,152,290,290
最大功率转速(rpm),5500,5500,5500,5500,5500,6300,6300,5500,5500
最大功率(kW)_y,133,133,133,133,133,93,93,133,133
最大功率(kW)_x,133,133,133,133,133,93,93,133,133
最大净功率(kW),128,128,128,128,128,90,90,128,128
