Feature,35973,36085,36086,36087
高度(mm),1595,1595,1595,1595
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,后置后驱,前置前驱,前置前驱,后置后驱
面部识别,-,-,-,-
陡坡缓降,-,-,-,-
长度(mm),4100,4100,4100,4100
长*宽*高(mm),4100*1710*1595,4100*1710*1595,4100*1710*1595,4100*1710*1595
道路救援呼叫,-,-,-,-
道路交通标识识别,-,-,-,-
运动风格座椅,-,-,-,-
运动外观套件,-,-,-,-
轴距(mm),2520,2520,2520,2520
转向辅助灯,-,-,-,-
转向头灯,-,-,-,-
车顶行李架,●,●,●,●
车门数(个),5,5,5,5
车道偏离预警系统,-,-,-,-
车道保持辅助系统,-,-,-,-
车载空气净化器,-,-,-,-
车载电视,-,-,-,-
车载冰箱,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),-,-,-,-
车联网,●,-,-,●
车窗防夹手功能,-,-,-,-
车型名称,领途K-ONE 2018款 400 豪华型,领途K-ONE 2018款 300 舒适型,领途K-ONE 2018款 400 舒适型,领途K-ONE 2018款 300 豪华型
车内香氛装置,-,-,-,-
车内中控锁,●,●,●,●
车内PM2.5过滤装置,-,-,-,-
车体结构,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-
触摸式阅读灯,-,-,-,-
被动行人保护,-,-,-,-
行李厢容积(L),-,-,-,-
行李厢12V电源接口,-,-,-,-
蓝牙/车载电话,●,●,●,●
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动泊车入位,-,-,-,-
自动头灯,-,-,-,-
膝部气囊,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动
缺气保用轮胎,-,-,-,-
级别,小型SUV,小型SUV,小型SUV,小型SUV
系统综合扭矩(N·m),-,-,-,-
系统综合功率(kW),-,-,-,-
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-,-
空气悬架,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-
疲劳驾驶提示,-,-,-,-
电磁感应悬架,-,-,-,-
电池预加热,-,-,-,-
电池能量(kWh),46.2,40.55,46.2,40.55
电池组质保,待查,待查,待查,待查
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电机布局,后置,前置,前置,后置
电动机总扭矩(N·m),230,170,170,230
电动机总功率(kW),96,45,45,96
电动机(Ps),131,61,61,131
电动后备厢位置记忆,-,-,-,-
电动后备厢,-,-,-,-
电动可调踏板,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-
温度分区控制,-,-,-,-
涉水感应系统,-,-,-,-
油箱容积(L),-,-,-,-
最高车速(km/h),125,100,100,125
最小离地间隙(mm),165,165,165,165
最大扭矩(N·m),230,170,170,230
最大功率(kW),96,45,45,96
无钥匙启动系统,●,●,●,●
方向盘记忆,-,-,-,-
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
整车质保,待查,待查,待查,待查
整备质量(kg),1400,1400,1400,1400
挡位个数,1,1,1,1
手势控制,-,-,-,-
慢充时间(小时)_y,13,10,13,10
慢充时间(小时)_x,13,10,13,10
感应后备厢,-,-,-,-
快充电量百分比,90,90,90,90
快充电量(%),90,90,90,90
快充时间(小时)_y,1,1,1,1
快充时间(小时)_x,1,1,1,1
座位数(个),5,5,5,5
并线辅助,-,-,-,-
工信部纯电续航里程(km)_y,405,310,405,310
工信部纯电续航里程(km)_x,405,310,405,310
尾门玻璃独立开启,-,-,-,-
导航路况信息显示,●,-,-,●
宽度(mm),1710,1710,1710,1710
实测续航里程(km),-,-,-,-
实测慢充时间(小时),-,-,-,-
实测快充时间(小时),-,-,-,-
实测100-0km/h制动(m),-,-,-,-
实测0-100km/h加速(s),-,-,-,-
官方0-100km/h加速(s),-,-,-,-
大灯高度可调,●,●,●,●
大灯清洗装置,-,-,-,-
大灯延时关闭,●,●,●,●
夜视系统,-,-,-,-
多功能方向盘,●,-,-,●
备胎规格,无,无,无,无
后风挡遮阳帘,-,-,-,-
后雨刷,●,●,●,●
后轮距(mm),1460,1460,1460,1460
后轮胎规格,175/60 R14,175/60 R14,175/60 R14,175/60 R14
后电动机最大扭矩(N·m),230,-,-,230
后电动机最大功率(kW),96,-,-,96
后排独立空调,-,-,-,-
后排杯架,-,-,-,-
后排控制多媒体,-,-,-,-
后排座椅电动调节,-,-,-,-
后排座椅电动放倒,-,-,-,-
后排小桌板,-,-,-,-
后排安全带式气囊,-,-,-,-
后排侧隐私玻璃,-,-,-,-
后排中央安全气囊,-,-,-,-
后悬架类型,拖曳臂式非独立悬架,拖曳臂式非独立悬架,拖曳臂式非独立悬架,拖曳臂式非独立悬架
后座出风口,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-
可加热喷水嘴,-,-,-,-
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),21.58万,17.58万,20.58万,19.58万
厂商,领途汽车,领途汽车,领途汽车,领途汽车
助力类型,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-
前轮距(mm),1465,1465,1465,1465
前轮胎规格,175/60 R14,175/60 R14,175/60 R14,175/60 R14
前电动机最大扭矩(N·m),-,170,170,-
前电动机最大功率(kW),-,45,45,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-
前/后排侧气囊,-,-,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●
内置行车记录仪,-,-,-,-
全液晶仪表盘,-,-,-,-
倒车车侧预警系统,-,-,-,-
主动降噪,-,-,-,-
主动闭合式进气格栅,-,-,-,-
主动刹车/主动安全系统,-,-,-,-
主/副驾驶座电动调节,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控液晶屏分屏显示,-,-,-,-
上市时间,2018.12,2018.12,2018.12,2018.12
上坡辅助,●,●,●,●
OTA升级,-,-,-,-
LED日间行车灯,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●
HUD抬头数字显示,-,-,-,-
GPS导航系统,●,-,-,●
ABS防抱死,●,●,●,●
220V/230V电源,-,-,-,-
