Feature,1016354,1016414,1016647,1016653,1016654,1016655,1016656,1016657,1016658,1017002,1017003
高度(mm),2000,2610,2700,2000,2000,2030,2000,2000,2030,2000,2000
驾驶辅助影像,-,,,-,-,-,-,-,-,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,-,-,,,,,,,,
驱动方式,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5280,4930,5700,4600,5010,4960,4600,4930,4960,4930,5280
长*宽*高(mm),5280*1680*2000,4930*1730*2610,5700*1860*2700,4600*1680*2000,5010*1680*2000,4960*1720*2030,4600*1680*2000,4930*1720*2000,4960*1720*2030,4930*1720*2000,5280*1680*2000
钥匙类型,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
远光灯光源,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,
轴距(mm),3150,3050,3150,3050,3050,3050,3050,3050,3050,3050,3150
轮圈材质,,,,,,,,,,,
车门数(个),,,,,,,,,,,
车门开启方式,平开门,-,-,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-
车型名称,金杯T3 2023款 1.5L经典型 双排2.51米,金杯T3 2023款 1.5L快运标准版单排瓦楞厢2.9米后单轮,金杯T3 2023款 1.5L 双排售货车舒适型,金杯T3 2023款 1.5L超享型 单排2.7米,金杯T3 2023款 1.5L超享型 单排3.1米,金杯T3 2023款 1.5L超享型 双排2.05米,金杯T3 2023款 1.5L经典型 单排2.7米,金杯T3 2023款 1.5L经典型 单排2.92米,金杯T3 2023款 1.5L经典型 双排2.05米,金杯T3 2023款 1.5L舒享型 单排2.92米,金杯T3 2023款 1.5L舒享型 双排2.51米
车前雾灯,,,,-,-,-,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,-,-,-,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,非承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2510x1580x370,2900x1685x1700,2800x1700x1850,2700x1580x370,3100x1580x370,2055x1645x370,2700x1580x370,2920x1645x370,2055x1645x370,2920x1645x370,2510x1580x370
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,,,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,●,○,-,-,-,-,-,-,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,
离去角(°),29,-,-,29,29,29,29,29,29,29,29
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国IV,国VI,国VI,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
环保标准_x,国IV,国VI,国VI,国IV,国IV,国IV,国IV,国IV,国IV,国IV,国IV
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
最高车速(km/h),100,-,-,100,100,100,100,100,100,100,100
最大马力(Ps),102,102,102,102,102,102,102,102,102,102,102
最大载重质量(kg),1495,-,-,1495,1495,1495,1495,1495,1495,1495,1495
最大满载质量(kg),3080,2165,3100,2815,2815,3080,2815,2815,3080,2815,3080
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-,-,-
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,75,75,75,75,75,75,75,75,75,75,75
最大功率(kW)_x,75,75,75,75,75,75,75,75,75,75,75
最大净功率(kW),72,-,72,72,72,72,72,72,72,72,72
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1260,1415,1720,1190,1190,1260,1190,1190,1260,1190,1260
接近角(°),27,-,-,27,27,27,27,27,27,27,27
排量(mL),1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451
挡位个数,5,5,5,5,5,5,5,5,5,5,5
扬声器数量,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,
座位数(个),,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1680,1730,1860,1680,1680,1720,1680,1720,1720,1720,1680
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,-,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,-,●,-,-,-,-,-,-,-,-,-
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,-,-,-,-,-,-,-,-,-,-,-
备胎规格,,-,-,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435
后轮胎规格,,,,,,,,,,,
后排车门开启方式,-,,,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,-,-,-,-,-,-,-,-,-,
后悬架类型,,,,,,,,,,,
后座出风口,-,-,-,-,-,-,-,-,-,-,-
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-,-
发动机布局,-,-,-,-,-,-,-,-,-,-,-
发动机型号,SWC15M,SWC15M,SWC15M,SWC15M,SWC15M,SWC15M,SWC15M,SWC15M,SWC15M,SWC15M,SWC15M
发动机,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4,1.5L 102马力 L4
