Feature,58013,58014,58242,58243,58244,58246,60142,63499,63588,64492,66772,68518,68519,68562,68563,68564,68565,68566
高度(mm),1822,1822,1823,1823,1823,1823,1823,1823,1823,1823,1823,1822,1822,1823,1823,1823,1823,1823
驾驶辅助影像,-,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,
驱动电机数,-,-,-,-,单电机,单电机,单电机,-,-,-,-,-,-,单电机,-,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,●,-,●,●,-,-,-,●,-,-,-,-,-,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
防侧翻系统,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-
长度(mm),5089,5089,5212,5212,5212,5212,5212,5212,5212,5212,5212,5089,5089,5212,5212,5212,5212,5212
长*宽*高(mm),5089*1884*1822,5089*1884*1822,5212*1893*1823,5212*1893*1823,5212*1893*1823,5212*1893*1823,5212*1893*1823,5212*1893*1823,5212*1893*1823,5212*1893*1823,5212*1893*1823,5089*1884*1822,5089*1884*1822,5212*1893*1823,5212*1893*1823,5212*1893*1823,5212*1893*1823,5212*1893*1823
钥匙类型,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-
道路救援呼叫,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
道路交通标识识别,-,-,●,●,●,●,●,●,-,●,●,-,-,●,●,●,●,●
透明底盘/540度影像,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
远程启动功能,-,-,,,,,,,,,,-,-,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,
辅助驾驶系统,-,-,,,,,,,-,,,-,-,,,,,
辅助驾驶等级,-,-,,,,,,,-,,,-,-,,,,,
轴距(mm),3000,3000,3070,3070,3070,3070,3070,3070,3070,3070,3070,3000,3000,3070,3070,3070,3070,3070
轮圈材质,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,-,-,●,●,●,●,●,●,-,●,●,-,-,●,●,●,●,●
车道偏离预警系统,-,-,●,●,●,●,●,●,-,●,●,-,-,●,●,●,●,●
车道保持辅助系统,-,-,●,●,●,●,●,●,-,●,●,-,-,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●
车载智能系统,-,-,,,,,,,,,,-,-,,,,,
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,
车机智能芯片,-,-,,,,,,,,,-,-,-,,,,,
车型名称,传祺M8 2023款 领秀系列 390T 豪华版,传祺M8 2023款 领秀系列 390T 尊享版,传祺M8 2023款 宗师系列 400T 至尊版,传祺M8 2023款 宗师系列 400T 旗舰版,传祺M8 2023款 宗师系列 双擎 至尊版,传祺M8 2023款 宗师系列 双擎 御尊版,传祺M8 2023款 宗师系列 双擎 旗舰版,传祺M8 2024款 大师系列 400T 至尊版,传祺M8 2024款 大师系列 400T 尊贵版,传祺M8 2023款 宗师系列 400T 福祉版,传祺M8 2024款 宗师系列 400T 先锋版,传祺M8 2024款 领秀系列 390T 豪华版,传祺M8 2024款 领秀系列 390T 尊享版,传祺M8 2024款 大师系列 超级混动版,传祺M8 2024款 宗师系列 400T 至尊版,传祺M8 2024款 宗师系列 双擎 至尊版,传祺M8 2024款 宗师系列 双擎 旗舰版,传祺M8 2024款 宗师系列 双擎 御尊版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,●
车内生物监测系统,-,-,●,●,●,●,●,-,-,-,●,-,-,-,-,-,●,●
车内环境氛围灯,-,-,,,,,,,-,,,-,-,,,,,
车内摄像头数量,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,
车内化妆镜,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,,,,,,,,,,-,-,,,,,
负离子发生器,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●
语音连续识别,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
语音识别控制系统,-,-,,,,,,,,,,-,-,,,,,
语音助手唤醒词,-,-,-,-,-,-,-,,,,,-,-,,,,,
语音分区域唤醒识别,-,-,,,,,,,,,,-,-,,,,,
语音免唤醒词,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
触摸式阅读灯,-,-,-,-,-,-,-,●,●,-,-,-,-,●,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,●,●,-,-,-,-,-,-,-,●,-,●,●,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,●,●,●,●,●,-,-,●,●,-,-,-,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-
自动头灯,-,-,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●
能量回收系统,-,-,-,-,●,●,●,-,-,-,-,-,-,●,-,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,油电混合,油电混合,油电混合
能源类型_x,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,油电混合,油电混合,油电混合
胎压监测功能,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,○,-,○,○,-,-,-,-,-,-,-,-,-,○,○
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铸铁,铝合金,铝合金,铝合金
级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
简称,8挡自动,8挡自动,8挡自动,8挡自动,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,2挡DHT,8挡自动,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
