Feature,64737,66355,68006,68007
高度(mm),1664,1664,1664,1664
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,,,,
风阻系数(Cd),-,-,-,-
隐藏电动门把手,-,○,-,-
陡坡缓降,●,●,●,●
长度(mm),4700,4700,4700,4700
长*宽*高(mm),4700*1890*1664,4700*1890*1664,4700*1890*1664,4700*1890*1664
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,-,●,○,-
透明底盘/540度影像,-,●,●,●
远程启动功能,-,,,
远光灯光源,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,
运动风格座椅,-,●,●,-
辅助驾驶等级,-,,,-
轴距(mm),2765,2765,2765,2765
轮圈材质,,,,
转向辅助灯,●,●,●,●
车顶行李架,●,●,●,●
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道居中保持,-,●,○,-
车道偏离预警系统,-,●,○,-
车道保持辅助系统,-,●,○,-
车载空气净化器,-,-,-,-
车载智能系统,,,,
车身结构_y,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,-,●,●,●
车窗防夹手功能,-,●,-,-
车窗一键升降功能,-,,-,-
车型名称,荣威D5X DMH 2024款 135畅行版,荣威D5X DMH 2024款 135科技版,荣威D5X DMH 2024款 135旗舰版,荣威D5X DMH 2024款 135豪华版
车前雾灯,-,-,-,-
车内环境氛围灯,-,,-,-
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,-,●,●,●
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,,,,
语音连续识别,-,●,●,●
语音识别控制系统,,,,
语音助手唤醒词,-,,,
语音分区域唤醒识别,-,,,
语音免唤醒词,-,●,●,●
行车电脑显示屏幕,,,,
蓝牙/车载电话,●,●,●,●
自适应远近光,-,●,○,-
自动驻车,●,●,●,●
自动头灯,●,●,●,●
能量回收系统,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,2挡DHT,2挡DHT,2挡DHT,2挡DHT
第二排座椅调节,-,-,-,-
空调温度控制方式,,,,
离去角(°),27,27,27,27
百公里耗电量(kWh/100km),16.4,16.4,16.4,16.4
疲劳驾驶提示,-,-,-,-
电芯品牌,,,,
电能当量燃料消耗量(L/100km),1.85,1.85,1.85,1.85
电池预加热,●,●,●,●
电池能量(kWh),21.4,21.4,21.4,21.4
电池类型,,,,
电池快充电量范围(%)_y,-,30-80,30-80,30-80
电池快充电量范围(%)_x,-,30-80,30-80,30-80
电池快充时间(小时)_y,-,0.5,0.5,0.5
电池快充时间(小时)_x,-,0.5,0.5,0.5
电池冷却方式,冷媒直冷,冷媒直冷,冷媒直冷,冷媒直冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置
电动机总马力(Ps),197,197,197,197
电动机总扭矩(N·m),350,350,350,350
电动机总功率(kW),145,145,145,145
电动机(Ps),197,197,197,197
电动座椅记忆功能,-,,-,-
电动后备厢位置记忆,-,●,●,-
电动后备厢,-,●,●,-
环保标准_y,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●
燃油标号,92号,92号,92号,92号
温度分区控制,-,●,●,-
液晶仪表尺寸,,,,
油箱容积(L),55,55,55,55
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),200,200,200,200
最小转弯半径(m),5.7,5.7,5.7,5.7
最大马力(Ps),150,150,150,150
最大满载质量(kg),2309,2309,2309,2309
最大扭矩转速(rpm),-,-,-,-
最大扭矩(N·m)_y,235,235,235,235
最大扭矩(N·m)_x,-,-,-,-
最大功率转速(rpm),-,-,-,-
