Feature,62412,62531,62865,62866,62867,62915,67231,67311,67319,68298,69827
高度(mm),1710,1710,1710,1710,1710,1710,1710,1710,1710,1705,1705
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,
驱动方式,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-
面部识别,-,○,●,-,●,-,-,○,-,-,-
零重力座椅,-,-,-,-,-,-,-,-,-,,
隐藏电动门把手,-,-,-,-,-,-,-,-,-,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4710,4710,4710,4710,4710,4700,4710,4710,4710,4770,4770
长*宽*高(mm),4710*1865*1710,4710*1865*1710,4710*1865*1710,4710*1865*1710,4710*1865*1710,4700*1865*1710,4710*1865*1710,4710*1865*1710,4710*1865*1710,4770*1910*1705,4770*1910*1705
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,-,-,-,-,-,-,●,-
道路交通标识识别,-,-,●,-,●,-,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,-,,
远光灯光源,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,-,-
辅助驾驶等级,-,-,,-,,-,,,,,
轴距(mm),2710,2710,2710,2710,2710,2710,2710,2710,2710,2800,2800
轮圈材质,,,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,●,-,●,-,●,●,●,●,●
车道偏离预警系统,-,-,●,-,●,-,●,●,●,●,●
车道保持辅助系统,-,-,●,-,●,-,●,●,●,●,●
车载空气净化器,-,●,●,●,●,-,-,●,-,-,-
车载KTV,-,-,-,-,-,-,-,-,-,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,-,●,●,●,●,●
车窗一键升降功能,,,,,,-,,,,,
车型名称,长安CS75 PLUS 2023款 第三代 1.5T 自动豪华型,长安CS75 PLUS 2023款 第三代 1.5T 自动尊贵型,长安CS75 PLUS 2023款 第三代 1.5T 自动领航型,长安CS75 PLUS 2023款 第三代 2.0T 自动尊贵型,长安CS75 PLUS 2023款 第三代 2.0T 自动旗舰型,长安CS75 PLUS 2023款 第二代 1.5T 自动精英型,长安CS75 PLUS 2024款 第三代 冠军版 1.5T 智驾劲航型,长安CS75 PLUS 2024款 第三代 冠军版 2.0T 智驾劲擎型,长安CS75 PLUS 2024款 第三代 冠军版 1.5T 智驾劲领型,长安CS75 PLUS 2025款 第四代 1.5T 新蓝鲸 旗舰型,长安CS75 PLUS 2025款 第四代 1.5T 新蓝鲸 尊享型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,,-,,,-,,-
车内化妆镜,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,
负离子发生器,-,●,●,●,●,-,-,●,-,-,-
语音连续识别,-,-,-,-,-,-,-,-,-,●,●
语音识别控制系统,,,,,,,,,,,
语音助手唤醒词,-,-,-,-,-,-,-,-,-,,
语音分区域唤醒识别,-,-,-,-,-,-,-,-,-,,
语音免唤醒词,-,-,-,-,-,-,-,-,-,●,●
行车电脑显示屏幕,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,●,-,●,-,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,●,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铸铁,铸铁,铝合金,铝合金,铸铁,铝合金,铝合金,铝合金
纵向通过角(°),18,18,18,18,18,18,18,18,18,-,-
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡自动,8挡自动
第二排座椅调节,,,,,,,,,,,
第二排座椅功能,-,-,-,-,-,-,-,-,-,,-
空载最小离地间隙(mm),190,190,190,190,190,190,190,190,190,190,190
空调温度控制方式,,,,,,,,,,,
离去角(°),24,24,24,24,24,25,24,24,24,25,25
疲劳驾驶提示,-,-,●,-,●,●,-,○,-,-,-
电动座椅记忆功能,-,,-,-,,-,-,,-,,
电动后备厢位置记忆,-,●,●,●,●,-,●,●,-,●,●
电动后备厢,-,●,●,●,●,-,●,●,-,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
满载最小离地间隙(mm),170,170,170,170,170,170,170,170,170,170,170
温度分区控制,-,-,-,-,●,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,
油箱容积(L),58,58,58,58,58,58,58,58,58,58,58
气缸数(个),4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
毫米波雷达数量,-,,,,,-,-,,-,-,-
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),190,190,190,200,200,190,190,200,190,190,190
最大马力(Ps),188,188,188,233,233,188,188,233,188,192,192
最大满载质量(kg),1950,1950,1950,2045,2045,1950,1950,2045,1950,1980,1980
最大扭矩转速(rpm),1500-4000,1500-4000,1500-4000,1900-3300,1900-3300,1500-4000,1500-4000,1900-3300,1500-4000,1500-4000,1500-4000
最大扭矩(N·m)_y,300,300,300,390,390,300,300,390,300,310,310
最大扭矩(N·m)_x,300,300,300,390,390,300,300,390,300,310,310
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,138,138,138,171,171,138,138,171,138,141,141
最大功率(kW)_x,138,138,138,171,171,138,138,171,138,141,141
最大净功率(kW),133,133,133,166,166,133,133,166,133,136,136
无钥匙进入功能,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,
整车质保,,,,,,,,,,,
整备质量(kg),1575,1575,1575,1670,1670,1575,1575,1670,1575,1580,1580
摄像头数量,,,,,,,,,,,
推荐燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
接近角(°),20,20,20,20,20,21,19,19,19,20,20
排量(mL),1494,1494,1494,1998,1998,1494,1494,1998,1494,1494,1494
换挡形式,,,,,,,,,,,
挡位个数,8,8,8,8,8,8,8,8,8,8,8
扬声器数量,,,,,,,,,,,
扬声器品牌名称,-,,-,-,,-,-,,-,,-
手机无线充电功能,-,,,,,-,,,-,,
手机无线充电功率,-,-,-,-,-,-,-,-,-,,
手机互联/映射,,,,,,,,,,,
手机APP远程功能,,,,,,,,,,,
