Feature,60564,65263,65857,65858,66348,68909,68910,68911,69187,69188,69189,69215,69557
高精地图,-,-,●,-,-,-,●,●,-,●,-,-,-
高度(mm),1467,1467,1467,1467,1489,1480,1480,1467,1480,1480,1480,1480,1480
高压快充,支持,支持,支持,-,-,支持,支持,支持,支持,支持,支持,-,支持
高压平台（V）,-,-,-,-,-,800,800,800,800,800,800,400,800
驾驶辅助影像,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,
驱动电机数,单电机,单电机,双电机,单电机,单电机,单电机,单电机,双电机,单电机,单电机,双电机,单电机,双电机
驱动方式,,,,,,,,,,,,,
首任车主质保政策,,,,,,,,,,,,,
风阻系数(Cd),0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205
面部识别,●,●,●,●,●,●,●,●,●,●,●,●,●
零重力座椅,-,-,-,-,-,,,,,,,-,
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,●,●,●,●,●,●,●,●
长度(mm),4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945,4945
长*宽*高(mm),4945*1978*1467,4945*1978*1467,4945*1978*1467,4945*1978*1467,4945*1978*1489,4945*1978*1480,4945*1978*1480,4945*1978*1467,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480,4945*1978*1480
钥匙类型,,,,,,,,,,,,,
遥控泊车,○,-,●,-,-,●,●,●,●,●,●,○,●
道路救援呼叫,-,-,-,-,-,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,
辅助驾驶芯片,,,,,,,,,,,,,
辅助驾驶系统,-,-,-,-,-,,,,,,,,
辅助驾驶等级,,,,,,,,,,,,,
轴距(mm),3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
轮圈材质,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,-,-,-,-,-,,,,,,,,
车载KTV,●,●,●,●,●,●,●,●,●,●,●,●,●
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,
车机系统存储(GB),-,-,-,-,-,,,,,,,,
车机系统内存(GB),-,-,-,-,-,,,,,,,,
车机智能芯片,,,,,,,,,,,,,
车型名称,星纪元 ES 2024款 Max长续航版,星纪元 ES 2024款 Max+超长续航版,星纪元 ES 2024款 Ultra四驱性能版,星纪元 ES 2024款 Plus标准续航版,星纪元 ES 2024款 国潮版,星纪元 ES 2025款 Pro 100kWh,星纪元 ES 2025款 Pro城市智驾 100kWh,星纪元 ES 2025款 Ultra旗舰 100kWh,星纪元 ES 2025款 Pro 77kWh,星纪元 ES 2025款 Pro城市智驾 77kWh,星纪元 ES 2025款 Pro四驱 77kWh,星纪元 ES 2025款 国际版 70kWh,星纪元 ES 2025款 Pro四驱 100kWh
