Feature,46761,46762,46763,46764
高度(mm),1470,1470,1470,1470
驾驶辅助影像,-,-,,
驾驶模式切换,,-,,
驻车制动类型,,,,
驱动方式,,,,
风阻系数(Cd),-,-,-,-
陡坡缓降,-,-,-,-
长度(mm),4510,4510,4510,4510
长*宽*高(mm),4510*1765*1470,4510*1765*1470,4510*1765*1470,4510*1765*1470
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,
轴距(mm),2650,2650,2650,2650
轮圈材质,,,,
转向辅助灯,-,-,-,●
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-
车道保持辅助系统,-,-,-,-
车载空气净化器,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,-,-,-,-
车窗防夹手功能,-,-,-,●
车窗一键升降功能,-,-,-,
车型名称,悦动 2020款 1.6L 自动GL悦目版,悦动 2020款 1.6L 手动GLS悦值版,悦动 2020款 1.6L 自动GLS悦值版,悦动 2020款 1.6L 自动DLX悦心版
车前雾灯,-,-,-,-
车内环境氛围灯,-,-,-,-
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,-,-,-,○
车体结构,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-
行车电脑显示屏幕,,,,
蓝牙/车载电话,-,●,●,●
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动头灯,-,-,●,●
能源类型_y,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油
胎压监测功能,,,,
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,6挡手自一体,6挡手动,6挡手自一体,6挡手自一体
第二排座椅调节,-,-,-,-
空调温度控制方式,,,,
离去角(°),19.7,19.7,19.7,19.7
疲劳驾驶提示,-,-,-,-
电动座椅记忆功能,-,-,-,-
电动后备厢,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●
燃油标号,92号,92号,92号,92号
温度分区控制,-,-,-,-
液晶仪表尺寸,-,-,-,-
油箱容积(L),50,50,50,50
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),190,188,190,190
最大马力(Ps),123,123,123,123
最大满载质量(kg),1680,1640,1680,1680
最大扭矩转速(rpm),4850,4850,4850,4850
最大扭矩(N·m)_y,150.7,150.7,150.7,150.7
最大扭矩(N·m)_x,150.7,150.7,150.7,150.7
最大功率转速(rpm),6300,6300,6300,6300
最大功率(kW)_y,90.2,90.2,90.2,90.2
最大功率(kW)_x,90.2,90.2,90.2,90.2
最大净功率(kW),90.2,90.2,90.2,90.2
无钥匙进入功能,-,-,-,
无钥匙启动系统,-,-,-,●
方向盘记忆,-,-,-,-
方向盘材质,,,,
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
方向盘位置调节,,,,
整车质保,,,,
整备质量(kg),1167,1120,1167,1190
接近角(°),14.1,14.1,14.1,14.1
排量(mL),1591,1591,1591,1591
换挡形式,,,,
挡位个数,6,6,6,6
扬声器数量,,,,
扬声器品牌名称,-,-,-,-
手机无线充电功能,-,-,-,-
手机互联/映射,-,-,,
感应雨刷功能,-,-,-,-
感应后备厢,-,-,-,●
座椅材质,,,,
座位数(个),,,,
并线辅助,-,-,-,-
巡航系统,-,-,-,
导航路况信息显示,-,-,-,-
宽度(mm),1765,1765,1765,1765
官方0-100km/h加速(s),-,-,-,-
安全带未系提醒,,,,
天窗类型,-,,,
大灯高度可调,●,●,●,●
大灯延时关闭,●,●,●,●
多媒体/充电接口,,,,
多功能方向盘,-,●,●,●
外后视镜功能,,,,
备胎规格,,,,
后雨刷,-,-,-,-
后轮距(mm),1553,1553,1553,1541
后轮胎规格,,,,
后排独立空调,-,-,-,-
后排杯架,-,-,-,●
后排座椅放倒形式,-,-,-,-
后悬架类型,,,,
后座出风口,-,-,-,●
后备厢容积(L),490,490,490,490
后制动器类型,,,,
变速箱类型,手自一体变速箱(AT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,6挡手自一体,6挡手动,6挡手自一体,6挡手自一体
发动机电子防盗,●,●,●,●
发动机特有技术,D-CVVT,D-CVVT,D-CVVT,D-CVVT
发动机布局,横置,横置,横置,横置
发动机型号,G4FG,G4FG,G4FG,G4FG
发动机启停技术,-,-,-,○
发动机,1.6L 123马力 L4,1.6L 123马力 L4,1.6L 123马力 L4,1.6L 123马力 L4
厂商指导价(元),8.49万,8.89万,9.99万,11.59万
厂商,北京现代,北京现代,北京现代,北京现代
卫星导航系统,-,-,-,-
助力类型,,,,
副驾驶位后排可调节按钮,-,-,-,-
副座椅调节方式,,,,
前轮距(mm),1542,1542,1542,1530
前轮胎规格,,,,
前排座椅功能,-,-,-,
前悬架类型,,,,
前制动器类型,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-
前/后排侧气囊,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●
内后视镜功能,,,,
全液晶仪表盘,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷
主座椅调节方式,,,,
主动刹车/主动安全系统,-,-,-,-
主/副驾驶座电动调节,-,-,-,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,-,-,,
中控屏幕尺寸,-,-,,
上市时间,2020.07,2020.07,2020.07,2020.07
上坡辅助,●,●,●,●
WLTC综合油耗(L/100km),6.35,5.75,6.35,6.35
USB/Type-C接口数量,,,,
OTA升级,-,-,-,-
NEDC综合油耗(L/100km),6,5.6,6,6
LED日间行车灯,-,-,-,●
ISOFIX儿童座椅接口,●,●,●,●
ABS防抱死,●,●,●,●
