Feature,52322,53074,53873,56463,57233,57234,62186,62409,63635,64361,64362,64388,64389,64390,64391,64392,64828
高度(mm),1656,1637,1637,1637,1656,1656,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637
驾驶辅助影像,,,,-,,,,-,-,,,-,-,,-,,
驾驶模式切换,,,,,,,,,,,,,,,,,
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
首任车主质保政策,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),3033,2980,2980,2980,3033,3033,2980,2980,2980,3008,3008,3008,3008,3008,3008,3008,3008
长*宽*高(mm),3033*1496*1656,2980*1496*1637,2980*1496*1637,2980*1496*1637,3033*1496*1656,3033*1496*1656,2980*1496*1637,2980*1496*1637,2980*1496*1637,3008*1496*1637,3008*1496*1637,3008*1496*1637,3008*1496*1637,3008*1496*1637,3008*1496*1637,3008*1496*1637,3008*1496*1637
钥匙类型,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,
轴距(mm),1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960
轮圈材质,,,,,,,,,,,,,,,,,
车门数(个),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,●,-,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,QQ冰淇淋 2022款 桃欢喜 蜜桃款,QQ冰淇淋 2022款 170km 圣代 磷酸铁锂,QQ冰淇淋 2022款 120km 甜筒 磷酸铁锂,QQ冰淇淋 2022款 120km 奶昔 磷酸铁锂,QQ冰淇淋 2022款 桃欢喜 香桃款,QQ冰淇淋 2022款 桃欢喜 甜桃款,QQ冰淇淋 2022款 170km 圣代 三元锂,QQ冰淇淋 2023款 170km 奶昔 磷酸铁锂,QQ冰淇淋 2023款 120km 雪糕 磷酸铁锂,QQ冰淇淋 2024款 205km 圣代,QQ冰淇淋 2024款 205km 圣代+,QQ冰淇淋 2024款 120km 雪糕,QQ冰淇淋 2024款 120km 奶昔,QQ冰淇淋 2024款 120km 甜筒,QQ冰淇淋 2024款 170km 奶昔,QQ冰淇淋 2024款 170km 圣代,QQ冰淇淋 2024款 170km 圣代 +
车前雾灯,,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,-,-,-,,,-,-,-,,,-,-,-,-,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,-,●,●,●,-,-,●,●,-,-,●,-,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,-,,,-,,,,,
离去角(°),25,33,33,33,25,25,33,33,33,25,25,33,33,33,33,33,33
百公里耗电量(kWh/100km),9.3,9.3,8.8,8.8,8.8,9.3,9.3,9.3,8.8,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,江苏时代,国轩高科/江苏时代/广西宁福,国轩高科/河南鹏辉/中航锂电/广西宁福,国轩高科/河南鹏辉/中航锂电/广西宁福,中航锂电,江苏时代,国轩高科/天劲,国轩高科/江苏时代/广西宁福,国轩高科/河南鹏辉/中航锂电/广西宁福,江苏时代,江苏时代,江苏时代,江苏时代,江苏时代,江苏时代,江苏时代,江苏时代
电能当量燃料消耗量(L/100km),1.05,1.05,0.99,0.99,0.99,1.05,1.05,1.05,0.99,-,-,0.99,0.99,0.99,1.05,1.05,1.05
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),114,113,100,100,101,114,127,113,100,-,-,-,-,-,-,-,-
电池能量(kWh),13.9,13.9,9.42,9.42,9.6,13.9,13.85,13.9,9.42,17.4,17.4,9.4,9.4,9.4,13.6,13.6,13.6
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,-,-,-,-,-,-,-,-
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,三元锂电池,磷酸铁锂电池,磷酸铁锂电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),85,85,85,85,85,85,85,85,85,90,90,85,85,85,85,85,85
电动机总功率(kW),20,20,20,20,20,20,20,20,20,30,30,20,20,20,20,20,20
电动机总功率(Ps),27,27,27,27,27,27,27,27,27,41,41,27,27,27,27,27,27
电动机(Ps),27,27,27,27,27,27,27,27,27,41,41,27,27,27,27,27,27
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
