Feature,1014890,1014891,1017399,1017400,1017401,1017402,1017403,1017404,1017405
高度(mm),1947,2410,1947,2410,2385,2445,2385,2505,1960
驾驶辅助影像,-,,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-
长度(mm),5080,5080,5080,5080,5145,5080,5100,5060,5100
长*宽*高(mm),5080*1605*1947,5080*1605*2410,5080*1605*1947,5080*1605*2410,5145*1645*2385,5080*1605*2445,5100*1605*2385,5060*1610*2505,5100*1800*1960
钥匙类型,,,,,,,,,
远光灯光源,,,,,,,,,
近光灯光源,,,,,,,,,
轴距(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050
轮圈材质,,,,,,,,,
车门数(个),,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-
车型名称,大象G40 2023款 G40-L 纯电动单排栏板车41.86kwh,大象G40 2023款 G40-XG 纯电动单排厢式车41.86kwh,大象G40 2024款 G40-L 单排纯电动栏板车41.86kwh（加宽车厢）,大象G40 2024款 G40-XG 单排纯电动厢式车41.86kwh（加宽车厢）,大象G40 2024款 G40-LC 单排纯电动厢式冷藏式微卡 41.86kwh,大象G40 2024款 G40-L 单排纯电动仓栅式微卡 41.86kwh,大象G40 2024款 G40-XG 单排纯电动厢式微卡 41.86kwh（铁质车厢）,大象G40 2024款 G40-X 单排纯电动宣传车 41.86kwh,大象G40 2024款 G40-PB 单排纯电动平板运输车41.86kwh
车前雾灯,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-,-
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),3100x1435x365,3110x1490x1540,3135x1520x330,3110x1510x1540,3050x1435x1450,3135x1520x330,3135x1520x1575,3150x1290x1665,-
语音识别控制系统,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,
蓝牙/车载电话,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-
