Feature,1012157,1012158,1014402,1014403,1014404,1014405,1014406,1014407,1016724,1016725,1016726,1016727,1016728,1016729,1016730,1016731
高度(mm),2280,1995,2280,1995,2280,1995,2280,1995,2280,2280,2280,1995,1995,1995,1995,1995
驾驶辅助影像,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340
长*宽*高(mm),5340*1695*2280,5340*1695*1995,5340*1695*2280,5340*1695*1995,5340*1695*2280,5340*1695*1995,5340*1695*2280,5340*1695*1995,5340*1695*2280,5340*1695*2280,5340*1695*2280,5340*1695*1995,5340*1695*1995,5340*1695*1995,5340*1695*1995,5340*1695*1995
钥匙类型,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,
轴距(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050
轮圈材质,,,,,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○
