Feature,66925,66926,66927,66928,66929,66930,67380,67381,67382,67383,67384,69345,69392,69393,69394,71663,71664,71665,71666
高度(mm),1495,1495,1495,1495,1495,1495,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460
高压快充,-,-,-,-,-,-,-,-,-,-,-,支持,-,支持,支持,-,支持,支持,支持
高压平台（V）,-,-,-,-,-,-,-,-,-,-,-,800,-,800,800,-,800,800,800
驾驶辅助影像,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,双电机,单电机,单电机,单电机,双电机,单电机,单电机,单电机,双电机
驱动方式,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219,0.219
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4980,4980,4980,4980,4980,4980,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
长*宽*高(mm),4980*1890*1495,4980*1890*1495,4980*1890*1495,4980*1890*1495,4980*1890*1495,4980*1890*1495,4800*1875*1460,4800*1875*1460,4800*1875*1460,4800*1875*1460,4800*1875*1460,4800*1875*1460,4800*1875*1460,4800*1875*1460,4800*1875*1460,4800*1875*1460,4800*1875*1460,4800*1875*1460,4800*1875*1460
钥匙类型,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,-,-,-,-,-,-,-,-,-,-,-,-
遥控泊车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-
远程启动功能,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,-,-,-,-,-,-,-,-,-,-,-,-,-
近光灯光源,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-,-,-,●
辅助驾驶路段,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
辅助驾驶系统,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
辅助驾驶等级,-,,,,,,,,,,,,,,,,,,
辅助泊车入位,-,-,-,-,●,●,-,-,-,-,-,●,●,●,●,●,●,●,●
辅助变道,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
辅助匝道自动驶出(入),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
轴距(mm),2900,2900,2900,2900,2900,2900,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920
轮圈材质,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,,,,,,,,,
车载KTV,-,-,-,-,-,-,-,●,●,●,●,●,-,●,●,-,●,●,●
